storm_number,date,time,lat_n,lon_w,max_winds(kt),landfall_state,storm_names
2,5/29/08,2100,35.2,75.6,55,NC,
2,5/30/08,2300,41.3,72,35,CT,
4,7/31/08,2200,29.5,91.9,50,LA,
5,9/1/08,800,34.6,76.6,45,NC,
3,6/28/09,2000,26,80.1,45,FL,
3,6/30/09,1400,30.1,84.1,35,FL,
8,8/29/09,900,26.4,80.1,45,FL,
2,8/21/10,0,25.7,97.2,40,TX,
1,6/13/12,500,29.6,91.6,60,LA,
2,7/15/12,1500,31.3,81.3,45,GA,
1,9/17/14,700,30.6,81.4,60,GA,
1,5/14/16,600,25.1,81,35,FL,
3,7/21/16,1300,41.4,71.2,60,MA,
7,8/25/16,800,25.6,80.3,40,FL,
9,9/6/16,600,33.9,78.3,45,NC,
12,10/4/16,2100,31.5,81.4,50,GA,
1,7/4/19,1100,30.4,87,55,FL,
4,10/1/19,100,31.2,81.3,40,GA,
3,9/23/20,600,33.7,78.2,55,NC,
5,9/30/20,900,28.9,82.9,55,FL,
7,11/23/21,600,22.1,81.5,35,FL,
3,9/21/22,1200,32,75,40,NC,
1,6/26/23,500,29.1,90.1,40,LA,
8,10/18/23,100,30.3,89,50,MS,
7,10/19/23,900,41.3,70.6,50,MA,
8,9/29/24,2100,30,84,55,FL,
3,9/7/25,0,25.1,97.3,35,TX,
4,12/1/25,300,26.3,81.9,55,FL,
4,9/17/26,0,37.8,68,40,MA,
1,8/24/27,1800,38,71.5,60,MA,
5,10/3/27,900,32.5,80.4,50,SC,
1,8/10/28,400,30,84.3,35,FL,
2,8/13/28,300,24.7,81.4,60,FL,
2,8/14/28,1400,29.9,84.7,45,FL,
2,9/9/30,900,27.5,82.7,40,FL,
2,9/13/30,0,35.1,75.2,60,NC,
1,6/27/31,2200,26.6,97.3,40,TX,
2,7/15/31,1000,29.2,91,50,LA,
3,8/30/32,400,25.3,80.3,55,FL,
4,9/9/32,0,38.6,69,50,MA,
6,9/15/32,400,30,83.9,50,FL,
8,9/19/32,1900,29.6,91.9,55,LA,
3,7/23/33,800,28.6,96,40,TX,
11,9/5/33,400,29.2,82.9,55,FL,
17,10/5/33,800,24.4,80.6,55,FL,
6,9/3/34,1000,35,76.2,40,NC,
7,9/9/34,400,41.2,73,50,CT,
11,10/6/34,100,30.3,87.4,45,FL,
5,9/29/35,0,25.2,79.6,55,FL,
1,6/15/36,800,25.9,81.7,40,FL,
4,7/27/36,1600,29.1,90.2,40,LA,
5,7/29/36,200,25.3,80.3,55,FL,
9,8/21/36,2200,28.9,80.8,50,FL,
14,9/13/36,1600,25.9,97.1,45,TX,
1,7/29/37,2200,28.1,82.8,55,FL,
1,7/31/37,1500,35.1,75.6,60,NC,
3,8/30/37,1400,29.1,80.9,60,FL,
7,9/19/37,1800,29.1,89.3,40,LA,
7,9/20/37,1600,29.7,85.4,35,FL,
10,10/3/37,1200,29.6,92,35,LA,
10,10/3/37,1400,29.8,92,35,LA,
7,10/17/38,1300,29.3,94.8,40,TX,
1,6/16/39,1300,30.3,87.6,50,AL,
4,9/26/39,800,29.1,90.2,45,LA,
4,9/2/40,800,40.6,69.2,55,MA,
4,9/2/40,2000,44.1,66.4,40,ME,
5,9/16/40,1500,39.9,67.1,40,MA,
6,9/24/40,900,29.8,93.4,40,LA,
1,9/13/41,1800,28.3,90.8,35,LA,
6,10/20/41,1400,29.2,83,40,FL,
6,9/17/43,0,27.8,95.4,55,TX,
7,10/1/43,0,37.4,75.6,55,VA,
5,8/22/44,1800,25,97.8,40,TX,
6,9/10/44,1900,29.3,89.4,55,LA,
6,9/10/44,2300,30.3,88.3,50,MS/AL,
1,6/26/45,100,34.7,76.6,60,NC,
2,7/21/45,1200,27.8,95.4,35,TX,
7,9/5/45,0,26.5,82.1,35,FL,
9,9/17/45,1100,32.1,80.9,60,GA/SC,
2,7/6/46,800,33.9,78.2,45,NC,
7,11/1/46,2200,26.6,80.1,40,FL,
1,8/2/47,0,25.6,97.3,45,TX,
3,8/22/47,1400,29.1,90.3,40,LA,
5,9/8/47,1400,30.3,88.2,40,MS,
6,9/23/47,2200,28.9,82.7,55,FL,
7,10/7/47,400,30.8,81.5,50,GA,
2,7/9/48,700,30.3,87.3,35,FL,
5,9/4/49,1200,29.3,90.6,50,LA,
7,9/13/49,800,34.3,77.8,35,NC,
1,8/20/50,600,34.4,74.3,35,NC,Able
1,8/21/50,600,41.2,67.3,40,MA,Able
4,9/11/50,600,34.9,72.2,40,NC,Dog
13,10/21/50,1100,29.7,83.4,50,FL,Love
2,5/17/51,1800,27.5,78.9,40,FL,Able
9,10/2/51,1000,26.7,82.3,55,FL,How
1,2/3/52,430,25.5,81.2,55,FL,Unnamed
3,8/28/52,200,33.7,78.7,45,SC,Unnamed
1,6/6/53,1700,30.3,85.9,40,FL,Alice
4,9/7/53,1200,41.2,70.2,50,MA,Carol
8,9/20/53,1700,29,82.8,35,FL,Unnamed
11,10/4/53,0,22.9,80.7,35,FL,Unnamed
3,6/25/54,1400,25,97.6,60,TX,Alice
5,7/29/54,1000,29.7,92.8,50,LA,Barbara
1,8/1/55,1700,29.7,89.4,55,LA,Brenda
3,8/17/55,1200,34,77.9,60,NC,Diane
5,8/27/55,400,30,89.2,45,LA,Unnamed
1,6/13/56,1700,29.1,90.7,50,LA,Unnamed
11,10/15/56,2100,25.2,80.6,50,FL,Unnamed
1,6/9/57,30,30.1,84.2,45,FL,Unnamed
3,8/10/57,600,29.7,93.9,55,TX,Bertha
5,9/8/57,1700,30.3,86.1,35,FL,Debbie
6,9/18/57,1200,29.2,90.9,55,LA,Esther
5,9/3/58,1200,21.9,83,50,FL,Ella
5,9/5/58,1800,26.8,94,40,LA,Ella
5,9/6/58,800,27.5,97.2,50,TX,Ella
1,5/30/59,2200,29.6,91.6,55,LA,Arlene
3,6/18/59,800,28,82.8,40,FL,Unnamed
4,7/11/59,1200,41.7,70.7,50,MA,Cindy
10,10/8/59,1000,30.3,87.6,40,AL,Irene
11,10/18/59,1400,26.7,82.3,55,FL,Judith
1,6/24/60,400,26.9,97.4,50,TX,Unnamed
3,7/29/60,600,29.7,83.5,35,FL,Brenda
3,7/29/60,2100,33.9,78.2,60,NC,Brenda
6,9/14/61,1200,34.4,77.6,40,NC,Unnamed
6,9/14/61,2100,37.1,76,45,VA,Unnamed
6,9/15/61,600,40.7,73.2,55,NY,Unnamed
6,9/15/61,700,41.3,72.7,55,CT,Unnamed
5,9/21/61,800,39.6,72,40,NJ,Esther
5,9/21/61,1200,40.4,71.5,60,NY,Esther
5,9/21/61,1500,40.6,71.1,60,RI,Esther
5,9/21/61,1500,40.6,71.1,50,CT,Esther
5,9/26/61,500,41.3,70.3,50,MA,Esther
5,9/26/61,600,41.7,70.2,50,MA,Esther
5,9/26/61,1100,43.8,69.9,35,ME,Esther
6,6/30/62,2100,35.2,75.8,55,NC,Unnamed
1,8/28/62,1100,35,75.1,40,NC,Alma
7,12/1/62,1800,33.7,74.3,40,NC,Unnamed
10,6/3/63,800,35.2,75.8,40,NC,Unnamed
4,9/17/63,1400,29.6,94.3,55,TX,Cindy
8,9/26/63,600,33.1,76.9,55,NC,Ginny
8,9/29/63,600,38.1,68.8,35,MA,Ginny
3,8/7/64,2030,28.8,95.6,60,TX,Abby
5,8/29/64,400,31.2,81.3,50,GA,Cleo
9,9/23/64,900,34.8,72.4,40,NC,Gladys
1,6/15/65,1100,30.4,86.9,50,FL,Unnamed
5,9/29/65,2000,29.1,90.2,35,LA,Debbie
9,10/18/65,1500,29.4,81.1,55,FL,Unnamed
12,7/1/66,2200,22.9,83.1,40,FL,Unnamed
3,6/18/67,200,33.9,78.3,35,NC,Unnamed
14,9/17/67,0,36.5,75.9,50,NC,Doria
1,6/4/68,1200,26.7,82.3,55,FL,Abby
1,6/6/68,2200,30.4,81.4,55,FL,Abby
3,6/23/68,2230,27.8,97.1,60,TX,Candy
16,9/11/68,1000,40.6,73.3,55,NY,Unnamed
16,9/9/69,1800,40.9,69.4,35,MA,Gerda
16,9/10/69,100,44.7,67.3,60,ME,Gerda
23,10/1/69,600,27.9,86.6,35,LA,Unnamed
23,10/1/69,1600,30.4,86.8,40,FL,Unnamed
24,10/2/69,2100,26.1,81.8,40,FL,Jenny
25,10/15/69,1200,32.7,73.5,45,NC,Kara
2,7/22/70,1000,29.7,85.3,40,FL,Becky
