,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
Sweden90,0.11538461538461539,-0.049230769230769265,0.04,0.26846153846153864,0.0653846153846154,0.03538461538461535,-0.1346153846153846,-0.3492307692307692,-0.08923076923076928,0.016923076923076964,-0.153076923076923,-0.20076923076923073,0.6523076923076925,-0.07384615384615387,0.06923076923076915,0.13384615384615392,21
Sweden94,0.43769230769230777,0.18307692307692303,0.18846153846153843,0.3076923076923077,-0.013846153846153859,0.10153846153846152,-0.11615384615384618,0.05615384615384615,-0.34846153846153854,-0.2084615384615385,0.12307692307692308,0.12692307692307694,0.8484615384615387,-0.23,0.04692307692307692,0.2307692307692307,3
Sweden02,0.15230769230769223,0.16076923076923083,0.12307692307692303,0.047692307692307666,-0.21384615384615382,-0.0015384615384615228,-0.11,-0.37846153846153846,-0.19999999999999998,-0.07846153846153849,0.8946153846153846,-0.05076923076923078,0.33692307692307694,0.004615384615384637,0.03846153846153848,-0.06615384615384613,13
Sweden06,0.013846153846153888,0.3369230769230768,0.48615384615384616,0.5676923076923075,0.013076923076923071,0.27230769230769236,0.07692307692307696,0.2023076923076923,0.13923076923076924,-0.019999999999999993,-0.0653846153846154,-0.08846153846153845,0.2961538461538461,-0.1523076923076923,-0.13230769230769235,0.6315384615384615,14
Sweden18,0.11000000000000004,0.3384615384615385,-0.006923076923076916,0.06461538461538464,-0.35307692307692307,-0.14153846153846156,-0.21153846153846154,-0.30076923076923073,-0.573846153846154,-0.3423076923076923,0.5584615384615386,0.08846153846153842,0.29846153846153844,0.08153846153846155,0.20384615384615387,0.050769230769230775,7
