,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
Romania90,0.07384615384615391,0.2561538461538462,0.14615384615384616,0.05769230769230771,0.5969230769230769,0.017692307692307657,0.8346153846153845,1.0923076923076922,0.7284615384615385,0.7076923076923076,0.046923076923076956,0.17461538461538464,-0.2646153846153846,0.13769230769230767,0.3307692307692307,-0.0576923076923077,12
Romania94,0.3684615384615386,-0.026923076923076956,-0.3838461538461538,-0.043076923076923054,0.1261538461538462,-0.1769230769230769,0.2861538461538461,0.5615384615384615,-0.3015384615384616,-0.45230769230769236,0.28384615384615386,-0.13692307692307695,0.11615384615384614,0.0884615384615385,0.21538461538461537,-0.27461538461538465,6
Romania98,0.054615384615384684,-0.13538461538461544,-0.40153846153846157,-0.1630769230769231,0.25999999999999995,-0.05076923076923075,-0.01999999999999998,0.34769230769230774,-0.18,0.2799999999999999,-0.09153846153846154,-0.17923076923076928,-0.24923076923076917,-0.20307692307692304,-0.15230769230769234,-0.3453846153846154,11
