,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
Russia82,0.14076923076923079,-0.06076923076923079,0.02846153846153848,0.07846153846153849,0.0869230769230769,0.24461538461538462,-0.14846153846153848,0.1315384615384615,0.14999999999999997,-0.1453846153846154,0.11923076923076924,0.22769230769230756,0.1438461538461539,-0.36,-0.008461538461538468,0.14384615384615376,7
Russia86,0.786153846153846,0.9469230769230766,0.14923076923076917,0.24230769230769228,-0.25846153846153846,-0.4130769230769232,0.6807692307692305,-0.09153846153846155,0.08999999999999998,0.1369230769230769,-0.5469230769230768,-0.3292307692307693,-0.12769230769230766,-0.19076923076923077,-0.05538461538461538,0.31307692307692303,10
Russia90,0.29384615384615387,0.27999999999999997,0.04076923076923078,0.14076923076923087,0.29846153846153844,0.09923076923076929,0.011538461538461471,0.21769230769230768,0.5353846153846153,0.26384615384615384,-0.3315384615384615,-0.016153846153846126,-0.4453846153846154,0.037692307692307664,0.2969230769230768,0.34076923076923077,17
Russia94,0.5530769230769227,0.4115384615384615,-0.10461538461538461,0.02692307692307686,-0.3523076923076923,-0.23846153846153847,-0.25461538461538463,-0.2684615384615384,-0.12538461538461537,0.02923076923076922,-0.11923076923076925,-0.2792307692307693,-0.15076923076923077,-0.26615384615384613,-0.40615384615384625,-0.21,18
Russia02,0.2392307692307691,0.42461538461538456,0.06846153846153843,0.40692307692307694,0.0015384615384615228,0.0007692307692307614,-0.25076923076923074,-0.05153846153846153,0.008461538461538453,0.15769230769230774,-0.39538461538461533,-0.5199999999999998,0.04076923076923075,0.09615384615384616,0.17076923076923067,0.4092307692307692,22
Russia14,-0.09307692307692308,-0.06769230769230765,0.2723076923076923,0.10846153846153855,0.02307692307692308,0.13384615384615386,-0.21461538461538465,0.5615384615384615,0.41923076923076924,0.0984615384615385,0.15000000000000005,-0.1369230769230769,-0.10384615384615385,0.18615384615384614,-0.1630769230769231,-0.0015384615384615228,24
Russia18,0.5723076923076923,0.006153846153846155,-0.03769230769230769,0.07615384615384622,-0.4169230769230769,-0.15384615384615388,-0.17076923076923078,-0.19153846153846152,-0.4661538461538462,-0.10769230769230768,0.3446153846153847,-0.07230769230769231,0.683076923076923,0.36538461538461536,-0.13846153846153847,-0.01769230769230769,8
