,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
Germany18,-0.066153846,0.162307692,0.266923077,0.741538462,0.566153846,0.604615385,-0.193846154,0.526923077,0.376923077,0.288461538,-0.49,-0.120769231,-0.350769231,-0.510769231,-0.26,0.861538462,23
Germany14,0.755384615,0.614615385,0.071538462,0.436923077,0.516923077,0.344615385,-0.132307692,-0.006153846,0.671538462,-0.043846154,-0.240769231,-0.013846154,-0.113846154,-0.118461538,0.043076923,0.396153846,1
Germany10,0.816923077,0.433846154,-0.024615385,0.452307692,0.194615385,-0.104615385,0.006153846,0.384615385,0.047692308,0.056923077,-0.066923077,0.276153846,0.296153846,-0.387692308,-0.258461538,0.276153846,3
Germany06,0.56,0.225384615,0.015384615,0.206923077,0.061538462,-0.043076923,-0.203076923,0.036923077,0.370769231,-0.07,-0.178461538,-0.349230769,-0.093846154,-0.165384615,-0.055384615,-0.000769231,3
Germany02,0.563076923,0.288461538,0.093846154,0.223846154,-0.443846154,-0.369230769,-0.342307692,-0.298461538,-0.030769231,-0.316153846,-0.322307692,-0.274615385,0.026923077,-0.260769231,-0.017692308,0.113846154,2
