,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
Poland82,0.22,0.028461538,0.177692308,0.112307692,-0.393076923,-0.097692308,-0.080769231,-0.013076923,-0.400769231,-0.382307692,-0.133846154,-0.206923077,-0.214615385,0.412307692,0.133076923,-0.035384615,3
Poland86,-0.274615385,-0.050769231,0.129230769,-0.05,0.305384615,0.47,0.320769231,0.37,0.170769231,-0.118461538,0.062307692,-0.114615385,-0.026923077,0.04,-0.097692308,-0.053846154,14
