,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
Mexico10,0.13230769230769235,0.2515384615384615,-0.0246153846153846,0.1992307692307692,0.563076923076923,0.2,0.23461538461538456,0.8638461538461539,1.1092307692307692,-0.018461538461538442,0.15692307692307697,0.17538461538461542,-0.009230769230769256,0.6076923076923075,0.3784615384615384,0.3192307692307692,14
Mexico14,0.20076923076923078,-0.043846153846153785,0.20076923076923078,0.06461538461538471,-0.004615384615384606,0.1746153846153846,-0.05538461538461541,-0.08999999999999998,-0.15076923076923077,-0.19307692307692303,-0.0769230769230769,-0.02384615384615385,-0.11923076923076925,0.09461538461538464,0.15230769230769237,0.08461538461538455,10
Mexico18,-0.023076923076923002,0.1946153846153847,0.02923076923076929,0.3415384615384616,0.2738461538461538,0.5561538461538462,0.6884615384615387,0.9823076923076924,0.5323076923076921,0.3646153846153846,0.08615384615384616,0.9615384615384617,0.006923076923076925,0.35230769230769216,0.24000000000000002,0.26,12
