,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
Colombia90,0.0730769230769231,0.004615384615384619,-0.01307692307692308,0.047692307692307666,0.8738461538461539,0.7907692307692307,0.2007692307692307,-0.08461538461538459,0.25999999999999995,1.156923076923077,-0.14923076923076922,0.10846153846153847,-0.1607692307692308,0.42769230769230787,0.5407692307692309,-0.07153846153846154,14
Colombia94,0.013846153846153782,0.2669230769230768,-0.10384615384615382,0.443076923076923,1.0923076923076922,0.6015384615384615,0.5007692307692309,-0.23461538461538467,0.8800000000000001,1.2161538461538461,-0.35923076923076924,0.058461538461538454,-0.15000000000000005,0.29,-0.1761538461538462,0.5684615384615384,19
Colombia98,-0.2615384615384615,-0.16923076923076924,-0.21692307692307694,-0.15461538461538463,0.06846153846153845,-0.08846153846153851,0.18307692307692308,0.3161538461538461,-0.17769230769230773,0.0807692307692307,-0.16615384615384615,-0.36153846153846153,-0.26999999999999996,0.28999999999999987,0.24538461538461542,-0.1730769230769231,21
Colombia14,0.781538461538462,0.2561538461538461,0.016923076923076895,0.2984615384615385,-0.30307692307692313,-0.24384615384615385,0.11769230769230764,0.1153846153846154,-0.03538461538461537,-0.24538461538461534,-0.14307692307692305,-0.04769230769230771,-0.23769230769230765,0.3438461538461538,0.41769230769230775,0.353076923076923,5
Colombia18,0.3130769230769231,-0.1030769230769231,0.029230769230769275,-0.3192307692307692,-0.09384615384615383,-0.15230769230769234,-0.1423076923076923,-0.18153846153846157,0.05846153846153844,-0.14153846153846156,0.016923076923076916,-0.01846153846153846,0.1215384615384616,0.21230769230769225,0.08307692307692298,-0.1715384615384615,9
