,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
Austria82,-0.04153846153846154,-0.21769230769230768,-0.22846153846153844,-0.21461538461538462,-0.06999999999999994,-0.18923076923076929,-0.18384615384615385,0.17615384615384616,0.1792307692307692,-0.22846153846153844,-0.3023076923076923,0.017692307692307726,-0.4361538461538462,-0.20538461538461533,-0.1253846153846154,-0.2976923076923077,8
Austria90,-0.06307692307692304,-0.06384615384615387,-0.2476923076923077,-0.2515384615384616,-0.3946153846153847,-0.18076923076923077,0.047692307692307666,0.3853846153846154,-0.24384615384615385,-0.1830769230769231,-0.0961538461538461,0.27461538461538465,-0.2946153846153846,-0.04538461538461539,0.11999999999999998,-0.25384615384615383,18
Austria98,0.055384615384615435,0.21076923076923085,0.17615384615384608,0.2784615384615383,-0.14384615384615385,-0.0776923076923077,-0.22307692307692303,-0.3153846153846154,0.08307692307692305,0.19076923076923077,-0.1576923076923077,0.07384615384615384,0.3323076923076923,0.4661538461538462,0.06846153846153845,0.1338461538461539,23
