,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
CzechRepublic06,0.15769230769230774,0.022307692307692292,0.16999999999999998,0.022307692307692327,0.09692307692307692,0.04692307692307693,-0.33384615384615385,0.27999999999999986,0.04153846153846151,0.373076923076923,-0.1992307692307692,-0.13846153846153852,-0.01923076923076918,0.06230769230769232,0.13000000000000003,0.022307692307692292,20
TrinidadTobago06,-0.42,-0.4407692307692308,0.01846153846153846,-0.42461538461538456,-0.49538461538461537,-0.23923076923076925,0.0676923076923077,0.04461538461538461,-0.4907692307692307,-0.3692307692307692,0.7653846153846153,-0.027692307692307735,-0.20846153846153845,-0.0969230769230769,-0.11000000000000003,-0.24153846153846154,27
Togo06,-0.22769230769230767,-0.22000000000000003,-0.1846153846153846,-0.028461538461538427,-0.17615384615384616,-0.2953846153846154,0.46692307692307694,0.15230769230769228,-0.5253846153846153,-0.31076923076923085,0.1984615384615385,-0.0530769230769231,0.13230769230769235,0.1584615384615385,0.03923076923076923,-0.2569230769230769,30
CostaRica06,0.15769230769230774,-0.18692307692307694,0.22153846153846152,0.010769230769230727,0.2646153846153847,0.14153846153846153,0.15538461538461532,-0.06538461538461537,0.10923076923076923,-0.039230769230769215,0.004615384615384632,-0.04384615384615387,-0.05692307692307689,-0.19230769230769232,0.24999999999999997,0.10538461538461542,31
