,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
Poland02,0.0769230769230769,0.34153846153846157,-0.06692307692307696,0.02923076923076917,-0.5969230769230769,-0.4638461538461538,-0.25,-0.4338461538461539,-0.43230769230769234,-0.636923076923077,-0.2569230769230769,0.025384615384615332,0.007692307692307699,0.47461538461538477,-0.21461538461538462,-0.11538461538461539,25
Poland06,-0.034615384615384576,-0.11846153846153847,-0.08307692307692312,0.09769230769230769,0.19153846153846155,0.2146153846153846,0.06615384615384617,-0.08461538461538462,-0.2192307692307692,0.16923076923076924,0.14076923076923079,0.17615384615384608,0.09461538461538471,0.030769230769230764,0.22000000000000003,-0.12461538461538463,21
Poland18,-0.06615384615384613,0.17307692307692304,-0.09076923076923077,0.23461538461538456,-0.03999999999999999,-0.07615384615384614,-0.35307692307692307,-0.31538461538461543,-0.10769230769230767,-0.10461538461538462,0.06769230769230766,0.07307692307692304,0.2130769230769231,-0.2876923076923078,-0.03000000000000006,0.09076923076923074,25
