Wk,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,day_code,hours,null,half,quart,three_quart
2,(22) Wake Forest,44,Virginia Military Institute,10,Wake Forest,Virginia Military Institute,22,99,124,209,0,22,99,3,19,0,1,0,0
2,Duke,30,Temple,0,Duke,Temple,99,99,28,184,0,99,99,4,19,0,1,0,0
2,Eastern Michigan,42,Eastern Kentucky,34,Eastern Michigan,Eastern Kentucky,99,99,30,53,0,99,99,4,19,1,0,0,0
2,Indiana,23,Illinois,20,Indiana,Illinois,99,99,43,78,0,99,99,4,20,1,0,0,0
2,Kansas,56,Tennessee Tech,10,Kansas,Tennessee Tech,99,99,47,187,0,99,99,4,20,1,0,0,0
2,(15) Michigan State,35,Western Michigan,13,Michigan State,Western Michigan,15,99,64,220,0,15,99,4,19,1,0,0,0
2,Old Dominion,20,Virginia Tech,17,Old Dominion,Virginia Tech,99,99,87,210,0,99,99,4,19,1,0,0,0
2,Texas Christian,38,Colorado,13,Texas Christian,Colorado,99,99,25,191,1,99,99,4,22,1,0,0,0
2,William & Mary,41,Charlotte,24,William & Mary,Charlotte,99,99,21,221,1,99,99,4,19,1,0,0,0
2,Air Force,48,Northern Iowa,17,Air Force,Northern Iowa,99,99,0,139,0,99,99,5,13,1,0,0,0
2,(1) Alabama,55,Utah State,0,Alabama,Utah State,1,99,2,204,0,1,99,5,19,0,1,0,0
2,Arizona,38,San Diego State,20,Arizona,San Diego State,99,99,95,10,1,99,99,5,15,0,1,0,0
2,(19) Arkansas,31,(23) Cincinnati,24,Arkansas,Cincinnati,19,23,7,39,0,19,23,5,15,0,1,0,0
2,Arkansas State,58,Grambling State,3,Arkansas State,Grambling State,99,99,8,70,0,99,99,5,19,1,0,0,0
2,Auburn,42,Mercer,16,Auburn,Mercer,99,99,10,107,0,99,99,5,19,1,0,0,0
2,(10) Baylor,69,Albany,10,Baylor,Albany,10,99,12,7,0,10,99,5,19,1,0,0,0
2,(25) Brigham Young,50,South Florida,21,Brigham Young,South Florida,99,25,99,24,1,25,99,5,16,1,0,0,0
2,California,34,California-Davis,13,California,California-Davis,99,99,18,30,0,99,99,5,16,1,0,0,0
2,Coastal Carolina,38,Army,28,Coastal Carolina,Army,99,99,24,15,0,99,99,5,19,1,0,0,0
2,Connecticut,28,Central Connecticut State,3,Connecticut,Central Connecticut State,99,99,27,33,0,99,99,5,12,1,0,0,0
2,Delaware,14,Navy,7,Delaware,Navy,99,99,70,47,1,99,99,5,12,1,0,0,0
2,Florida,29,(7) Utah,26,Florida,Utah,99,7,31,203,0,99,7,5,19,1,0,0,0
2,(3) Georgia,49,(11) Oregon,3,Georgia,Oregon,99,99,72,226,3,3,11,5,15,0,1,0,0
2,Georgia Southern,59,Morgan State,7,Georgia Southern,Morgan State,99,99,37,118,0,99,99,5,18,1,0,0,0
2,(24) Houston,37,Texas-San Antonio,35,Houston,Texas-San Antonio,99,24,113,73,1,24,99,5,15,0,1,0,0
2,Iowa,7,South Dakota State,3,Iowa,South Dakota State,99,99,44,168,0,99,99,5,12,1,0,0,0
2,Iowa State,42,Southeast Missouri State,10,Iowa State,Southeast Missouri State,99,99,45,170,0,99,99,5,14,1,0,0,0
2,James Madison,44,Middle Tennessee State,7,James Madison,Middle Tennessee State,99,99,46,112,0,99,99,5,18,1,0,0,0
2,Kansas State,34,South Dakota,0,Kansas State,South Dakota,99,99,48,167,0,99,99,5,19,1,0,0,0
2,(20) Kentucky,37,Miami (OH),13,Kentucky,Miami (OH),20,99,50,109,0,20,99,5,19,1,0,0,0
2,Liberty,29,Southern Mississippi,27,Liberty,Southern Mississippi,99,99,102,94,1,99,99,5,19,1,0,0,0
2,Louisiana,24,Southeastern Louisiana,7,Louisiana,Southeastern Louisiana,99,99,52,171,0,99,99,5,19,1,0,0,0
2,Marshall,55,Norfolk State,3,Marshall,Norfolk State,99,99,57,128,0,99,99,5,15,0,1,0,0
2,Maryland,31,Buffalo,10,Maryland,Buffalo,99,99,58,27,0,99,99,5,12,1,0,0,0
2,(16) Miami (FL),70,Bethune-Cookman,13,Miami (FL),Bethune-Cookman,16,99,61,20,0,16,99,5,15,0,1,0,0
2,(8) Michigan,51,Colorado State,7,Michigan,Colorado State,8,99,63,45,0,8,99,5,12,1,0,0,0
2,(21) Mississippi,28,Troy,10,Mississippi,Troy,21,99,67,199,0,21,99,5,16,1,0,0,0
2,Mississippi State,49,Memphis,23,Mississippi State,Memphis,99,99,68,106,0,99,99,5,19,0,1,0,0
2,Nebraska,38,North Dakota,17,Nebraska,North Dakota,99,99,71,133,0,99,99,5,15,0,1,0,0
2,Nevada,38,Texas State,14,Nevada,Texas State,99,99,73,193,0,99,99,5,17,0,1,0,0
2,New Mexico,41,Maine,0,New Mexico,Maine,99,99,75,101,0,99,99,5,20,1,0,0,0
2,North Carolina,63,Appalachian State,61,North Carolina,Appalachian State,99,99,4,130,1,99,99,5,12,1,0,0,0
2,(13) North Carolina State,21,East Carolina,20,North Carolina State,East Carolina,99,13,29,132,1,13,99,5,12,1,0,0,0
