Wk,Time,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,dates,day_code
4,2:30 PM,Notre Dame,24,California,17,Notre Dame,California,99,99,82,29,0,99,99,2022-09-17,5
4,7:00 PM,(3) Ohio State,77,Toledo,21,Ohio State,Toledo,3,99,84,195,0,3,99,2022-09-17,5
4,12:00 PM,(6) Oklahoma,49,Nebraska,14,Oklahoma,Nebraska,99,6,71,143,1,6,99,2022-09-17,5
4,7:00 PM,(8) Oklahoma State,63,Arkansas-Pine Bluff,7,Oklahoma State,Arkansas-Pine Bluff,8,99,86,14,0,8,99,2022-09-17,5
4,3:30 PM,(25) Oregon,41,(12) Brigham Young,20,Oregon,Brigham Young,99,99,88,24,0,25,12,2022-09-17,5
4,8:00 PM,Oregon State,68,Montana State,28,Oregon State,Montana State,99,99,72,223,3,99,99,2022-09-17,5
4,3:30 PM,(22) Penn State,41,Auburn,12,Penn State,Auburn,99,99,10,148,1,22,99,2022-09-17,5
4,7:30 PM,(23) Pittsburgh,34,Western Michigan,13,Pittsburgh,Western Michigan,99,99,129,149,1,23,99,2022-09-17,5
4,7:30 PM,Rice,33,Louisiana,21,Rice,Louisiana,99,99,93,95,0,99,99,2022-09-17,5
4,2:00 PM,Rutgers,16,Temple,14,Rutgers,Temple,99,99,105,156,1,99,99,2022-09-17,5
4,10:30 PM,(7) Southern California,45,Fresno State,17,Southern California,Fresno State,7,99,100,62,0,7,99,2022-09-17,5
4,12:00 PM,Southern Illinois,31,Northwestern,24,Southern Illinois,Northwestern,99,99,81,172,1,99,99,2022-09-17,5
4,7:00 PM,Southern Mississippi,64,Northwestern State,10,Southern Mississippi,Northwestern State,99,99,102,139,0,99,99,2022-09-17,5
4,12:00 PM,Syracuse,32,Purdue,29,Syracuse,Purdue,99,99,104,151,0,99,99,2022-09-17,5
4,7:00 PM,(15) Tennessee,63,Akron,6,Tennessee,Akron,99,99,106,2,0,15,99,2022-09-17,5
4,8:00 PM,(21) Texas,41,Texas-San Antonio,20,Texas,Texas-San Antonio,99,99,107,194,0,21,99,2022-09-17,5
4,9:00 PM,(24) Texas A&M,17,(13) Miami (FL),9,Texas A&M,Miami (FL),99,99,108,107,0,24,13,2022-09-17,5
4,3:00 PM,Tulane,17,Kansas State,10,Tulane,Kansas State,99,99,48,198,1,99,99,2022-09-17,5
4,7:00 PM,Tulsa,54,Jacksonville State,17,Tulsa,Jacksonville State,99,99,117,84,0,99,99,2022-09-17,5
4,2:00 PM,UCLA,32,South Alabama,31,UCLA,South Alabama,99,99,118,162,0,99,99,2022-09-17,5
4,10:00 PM,(14) Utah,35,San Diego State,7,Utah,San Diego State,99,99,119,160,0,14,99,2022-09-17,5
4,3:30 PM,Vanderbilt,38,Northern Illinois,28,Vanderbilt,Northern Illinois,99,99,80,203,1,99,99,2022-09-17,5
4,2:00 PM,Virginia,16,Old Dominion,14,Virginia,Old Dominion,99,99,122,145,0,99,99,2022-09-17,5
4,11:00 AM,Virginia Tech,27,Wofford,7,Virginia Tech,Wofford,99,99,123,220,0,99,99,2022-09-17,5
4,5:00 PM,(19) Wake Forest,37,Liberty,36,Wake Forest,Liberty,99,99,124,93,0,19,99,2022-09-17,5
4,7:30 PM,Washington,39,(11) Michigan State,28,Washington,Michigan State,99,99,125,110,0,99,11,2022-09-17,5
4,5:00 PM,Washington State,38,Colorado State,7,Washington State,Colorado State,99,99,126,45,0,99,99,2022-09-17,5
4,1:00 PM,West Virginia,65,Towson,7,West Virginia,Towson,99,99,127,196,0,99,99,2022-09-17,5
4,3:30 PM,Wisconsin,66,New Mexico State,7,Wisconsin,New Mexico State,99,99,130,125,0,99,99,2022-09-17,5
4,12:00 AM,Hawaii,24,Duquesne,14,Hawaii,Duquesne,99,99,40,49,0,99,99,2022-09-18,6
5,7:30 PM,Coastal Carolina,41,Georgia State,24,Coastal Carolina,Georgia State,99,99,38,42,1,99,99,2022-09-22,3
5,8:30 PM,Illinois,31,Chattanooga,0,Illinois,Chattanooga,99,99,42,38,0,99,99,2022-09-22,3
5,7:30 PM,West Virginia,33,Virginia Tech,10,West Virginia,Virginia Tech,99,99,123,213,1,99,99,2022-09-22,3
5,8:00 PM,Air Force,48,Nevada,20,Air Force,Nevada,99,99,0,121,0,99,99,2022-09-23,4
5,7:00 PM,Syracuse,22,Virginia,20,Syracuse,Virginia,99,99,104,205,0,99,99,2022-09-23,4
5,9:00 PM,Texas-El Paso,27,Boise State,10,Texas-El Paso,Boise State,99,99,112,21,0,99,99,2022-09-23,4
5,7:30 PM,(2) Alabama,55,Vanderbilt,3,Alabama,Vanderbilt,2,99,2,203,0,2,99,2022-09-24,5
5,12:00 PM,Auburn,17,Missouri,14,Auburn,Missouri,99,99,10,115,0,99,99,2022-09-24,5
5,12:00 PM,(17) Baylor,31,Iowa State,24,Baylor,Iowa State,99,99,45,19,1,17,99,2022-09-24,5
5,10:15 PM,(19) Brigham Young,38,Wyoming,24,Brigham Young,Wyoming,99,99,16,221,0,19,99,2022-09-24,5
5,12:00 PM,Buffalo,50,Eastern Michigan,31,Buffalo,Eastern Michigan,99,99,30,27,1,99,99,2022-09-24,5
5,5:30 PM,California,49,Arizona,31,California,Arizona,99,99,18,10,0,99,99,2022-09-24,5
5,4:00 PM,Central Florida,27,Georgia Tech,10,Central Florida,Georgia Tech,99,99,19,68,0,99,99,2022-09-24,5
5,3:30 PM,Cincinnati,45,Indiana,24,Cincinnati,Indiana,99,99,22,80,0,99,99,2022-09-24,5
5,12:00 PM,(5) Clemson,51,(21) Wake Forest,45,Clemson,Wake Forest,99,5,124,41,1,5,21,2022-09-24,5
5,8:00 PM,Florida State,44,Boston College,14,Florida State,Boston College,99,99,34,22,0,99,99,2022-09-24,5
5,12:00 PM,(1) Georgia,39,Kent State,22,Georgia,Kent State,1,99,36,89,0,1,99,2022-09-24,5
5,6:00 PM,Georgia Southern,34,Ball State,23,Georgia Southern,Ball State,99,99,37,18,0,99,99,2022-09-24,5
5,6:00 PM,Houston,34,Rice,27,Houston,Rice,99,99,41,153,0,99,99,2022-09-24,5
5,7:00 PM,Iowa,27,Rutgers,10,Iowa,Rutgers,99,99,94,82,1,99,99,2022-09-24,5
5,3:30 PM,James Madison,32,Appalachian State,28,James Madison,Appalachian State,99,99,4,85,1,99,99,2022-09-24,5
5,12:00 PM,Kansas,35,Duke,27,Kansas,Duke,99,99,47,48,0,99,99,2022-09-24,5
5,8:00 PM,Kansas State,41,(6) Oklahoma,34,Kansas State,Oklahoma,6,99,85,87,1,99,6,2022-09-24,5
5,7:00 PM,(8) Kentucky,31,Northern Illinois,23,Kentucky,Northern Illinois,8,99,50,136,0,8,99,2022-09-24,5
5,6:00 PM,Liberty,21,Akron,12,Liberty,Akron,99,99,51,2,0,99,99,2022-09-24,5
5,7:30 PM,Louisiana State,38,New Mexico,0,Louisiana State,New Mexico,99,99,53,124,0,99,99,2022-09-24,5
5,8:00 PM,Louisiana-Monroe,21,Louisiana,17,Louisiana-Monroe,Louisiana,99,99,55,95,0,99,99,2022-09-24,5
5,12:00 PM,Louisville,41,South Florida,3,Louisville,South Florida,99,99,56,167,0,99,99,2022-09-24,5
5,3:30 PM,Memphis,44,North Texas,34,Memphis,North Texas,99,99,60,133,0,99,99,2022-09-24,5
5,7:30 PM,Miami (OH),17,Northwestern,14,Miami (OH),Northwestern,99,99,81,108,1,99,99,2022-09-24,5
5,12:00 PM,(4) Michigan,34,Maryland,27,Michigan,Maryland,4,99,63,102,0,4,99,2022-09-24,5
5,3:30 PM,Middle Tennessee State,45,(25) Miami (FL),31,Middle Tennessee State,Miami (FL),99,99,61,111,1,99,25,2022-09-24,5
5,3:30 PM,Minnesota,34,Michigan State,7,Minnesota,Michigan State,99,99,64,112,1,99,99,2022-09-24,5
5,4:00 PM,(16) Mississippi,35,Tulsa,27,Mississippi,Tulsa,99,99,67,199,0,16,99,2022-09-24,5
5,12:00 PM,Mississippi State,45,Bowling Green,14,Mississippi State,Bowling Green,99,99,68,23,0,99,99,2022-09-24,5
5,6:00 PM,Navy,23,East Carolina,20,Navy,East Carolina,99,99,29,119,1,99,99,2022-09-24,5
5,7:00 PM,Nevada-Las Vegas,34,Utah State,24,Nevada-Las Vegas,Utah State,99,99,120,122,1,99,99,2022-09-24,5
5,8:00 PM,New Mexico State,45,Hawaii,26,New Mexico State,Hawaii,99,99,76,70,0,99,99,2022-09-24,5
5,7:30 PM,(12) North Carolina State,41,Connecticut,10,North Carolina State,Connecticut,99,99,78,46,0,12,99,2022-09-24,5
5,3:30 PM,Notre Dame,45,North Carolina,32,Notre Dame,North Carolina,99,99,77,140,1,99,99,2022-09-24,5
5,2:00 PM,Ohio,59,Fordham,52,Ohio,Fordham,99,99,83,61,0,99,99,2022-09-24,5
5,7:30 PM,(3) Ohio State,52,Wisconsin,21,Ohio State,Wisconsin,3,99,84,219,0,3,99,2022-09-24,5
5,6:00 PM,Old Dominion,29,Arkansas State,26,Old Dominion,Arkansas State,99,99,87,13,0,99,99,2022-09-24,5
5,4:00 PM,(15) Oregon,44,Washington State,41,Oregon,Washington State,99,99,126,146,1,15,99,2022-09-24,5
5,12:00 PM,(14) Penn State,33,Central Michigan,14,Penn State,Central Michigan,99,99,90,35,0,14,99,2022-09-24,5
5,12:00 PM,(24) Pittsburgh,45,Rhode Island,24,Pittsburgh,Rhode Island,99,99,91,152,0,24,99,2022-09-24,5
5,7:30 PM,Purdue,28,Florida Atlantic,26,Purdue,Florida Atlantic,99,99,92,58,0,99,99,2022-09-24,5
5,4:00 PM,Sacramento State,41,Colorado State,10,Sacramento State,Colorado State,99,99,26,157,1,99,99,2022-09-24,5
5,3:30 PM,San Diego State,17,Toledo,14,San Diego State,Toledo,99,99,95,195,0,99,99,2022-09-24,5
5,10:30 PM,San Jose State,34,Western Michigan,6,San Jose State,Western Michigan,99,99,96,217,0,99,99,2022-09-24,5
5,7:00 PM,South Alabama,38,Louisiana Tech,14,South Alabama,Louisiana Tech,99,99,97,97,0,99,99,2022-09-24,5
5,7:30 PM,South Carolina,56,Charlotte,20,South Carolina,Charlotte,99,99,98,37,0,99,99,2022-09-24,5
5,9:30 PM,(7) Southern California,17,Oregon State,14,Southern California,Oregon State,99,7,89,171,1,7,99,2022-09-24,5
5,7:00 PM,Southern Mississippi,27,Tulane,24,Southern Mississippi,Tulane,99,99,116,174,1,99,99,2022-09-24,5
5,2:00 PM,Temple,28,Massachusetts,0,Temple,Massachusetts,99,99,105,103,0,99,99,2022-09-24,5
5,3:30 PM,(11) Tennessee,38,(20) Florida,33,Tennessee,Florida,99,99,106,56,0,11,20,2022-09-24,5
5,7:00 PM,(23) Texas A&M,23,(10) Arkansas,21,Texas A&M,Arkansas,99,99,72,223,3,23,10,2022-09-24,5
5,12:00 PM,Texas Christian,42,Southern Methodist,34,Texas Christian,Southern Methodist,99,99,101,189,1,99,99,2022-09-24,5
5,7:00 PM,Texas State,34,Houston Baptist,0,Texas State,Houston Baptist,99,99,110,73,0,99,99,2022-09-24,5
5,3:30 PM,Texas Tech,37,(22) Texas,34,Texas Tech,Texas,99,99,111,187,0,99,22,2022-09-24,5
5,3:30 PM,Texas-San Antonio,52,Texas Southern,24,Texas-San Antonio,Texas Southern,99,99,113,190,0,99,99,2022-09-24,5
5,7:00 PM,Troy,16,Marshall,7,Troy,Marshall,99,99,115,101,0,99,99,2022-09-24,5
5,2:00 PM,UCLA,45,Colorado,17,UCLA,Colorado,99,99,25,200,1,99,99,2022-09-24,5
5,10:30 PM,(13) Utah,34,Arizona State,13,Utah,Arizona State,99,99,6,201,1,13,99,2022-09-24,5
5,10:30 PM,(18) Washington,40,Stanford,22,Washington,Stanford,99,99,125,177,0,18,99,2022-09-24,5
5,3:30 PM,Western Kentucky,73,Florida International,0,Western Kentucky,Florida International,99,99,128,59,0,99,99,2022-09-24,5
6,8:00 PM,(19) Brigham Young,38,Utah State,26,Brigham Young,Utah State,99,99,16,202,0,19,99,2022-09-29,3
6,7:00 PM,South Carolina,50,South Carolina State,10,South Carolina,South Carolina State,99,99,98,164,0,99,99,2022-09-29,3
6,8:00 PM,Boise State,35,San Diego State,13,Boise State,San Diego State,99,99,13,160,0,99,99,2022-09-30,4
6,11:00 PM,Nevada-Las Vegas,31,New Mexico,20,Nevada-Las Vegas,New Mexico,99,99,74,124,0,99,99,2022-09-30,4
6,7:30 PM,Texas-San Antonio,45,Middle Tennessee State,30,Texas-San Antonio,Middle Tennessee State,99,99,65,194,1,99,99,2022-09-30,4
6,7:00 PM,Tulane,27,Houston,24,Tulane,Houston,99,99,41,198,1,99,99,2022-09-30,4
6,10:30 PM,UCLA,40,(15) Washington,32,UCLA,Washington,99,99,118,210,0,99,15,2022-09-30,4
6,12:00 PM,Air Force,13,Navy,10,Air Force,Navy,99,99,0,119,0,99,99,2022-10-01,5
6,3:30 PM,(2) Alabama,49,(20) Arkansas,26,Alabama,Arkansas,99,2,7,3,1,2,20,2022-10-01,5
6,3:30 PM,Appalachian State,49,Citadel,0,Appalachian State,Citadel,99,99,4,40,0,99,99,2022-10-01,5
6,9:30 PM,Arizona,43,Colorado,20,Arizona,Colorado,99,99,5,44,0,99,99,2022-10-01,5
6,7:00 PM,Arkansas State,45,Louisiana-Monroe,28,Arkansas State,Louisiana-Monroe,99,99,8,98,0,99,99,2022-10-01,5
6,2:00 PM,Ball State,44,Northern Illinois,38,Ball State,Northern Illinois,99,99,11,136,0,99,99,2022-10-01,5
6,12:00 PM,Boston College,34,Louisville,33,Boston College,Louisville,99,99,14,99,0,99,99,2022-10-01,5
6,3:30 PM,Bowling Green,31,Akron,28,Bowling Green,Akron,99,99,1,23,1,99,99,2022-10-01,5
6,3:30 PM,Buffalo,24,Miami (OH),20,Buffalo,Miami (OH),99,99,17,108,0,99,99,2022-10-01,5
6,7:00 PM,Cincinnati,31,Tulsa,21,Cincinnati,Tulsa,99,99,117,39,1,99,99,2022-10-01,5
6,7:30 PM,(5) Clemson,30,(10) North Carolina State,20,Clemson,North Carolina State,5,99,23,130,0,5,10,2022-10-01,5
6,7:00 PM,Coastal Carolina,34,Georgia Southern,30,Coastal Carolina,Georgia Southern,99,99,24,66,0,99,99,2022-10-01,5
6,3:30 PM,Connecticut,19,Fresno State,14,Connecticut,Fresno State,99,99,27,62,0,99,99,2022-10-01,5
6,7:30 PM,Duke,38,Virginia,17,Duke,Virginia,99,99,28,205,0,99,99,2022-10-01,5
6,2:30 PM,East Carolina,48,South Florida,28,East Carolina,South Florida,99,99,72,223,3,99,99,2022-10-01,5
6,2:00 PM,Eastern Michigan,20,Massachusetts,13,Eastern Michigan,Massachusetts,99,99,30,103,0,99,99,2022-10-01,5
6,8:00 PM,Florida International,21,New Mexico State,7,Florida International,New Mexico State,99,99,76,59,1,99,99,2022-10-01,5
6,7:30 PM,(1) Georgia,26,Missouri,22,Georgia,Missouri,99,1,69,65,1,1,99,2022-10-01,5
6,12:00 PM,Georgia State,31,Army,14,Georgia State,Army,99,99,9,67,1,99,99,2022-10-01,5
6,8:00 PM,Georgia Tech,26,(24) Pittsburgh,21,Georgia Tech,Pittsburgh,99,99,91,68,1,99,24,2022-10-01,5
6,12:00 PM,Illinois,34,Wisconsin,10,Illinois,Wisconsin,99,99,130,77,1,99,99,2022-10-01,5
6,1:30 PM,James Madison,40,Texas State,13,James Madison,Texas State,99,99,46,191,0,99,99,2022-10-01,5
6,3:30 PM,Kansas,14,Iowa State,11,Kansas,Iowa State,99,99,47,83,0,99,99,2022-10-01,5
6,12:00 PM,(25) Kansas State,37,Texas Tech,28,Kansas State,Texas Tech,99,99,48,192,0,25,99,2022-10-01,5
6,3:30 PM,Kent State,31,Ohio,24,Kent State,Ohio,99,99,49,141,0,99,99,2022-10-01,5
6,6:00 PM,Liberty,38,Old Dominion,24,Liberty,Old Dominion,99,99,87,93,1,99,99,2022-10-01,5
6,7:00 PM,Louisiana State,21,Auburn,17,Louisiana State,Auburn,99,99,10,96,1,99,99,2022-10-01,5
6,3:30 PM,Marshall,28,Gardner-Webb,7,Marshall,Gardner-Webb,99,99,57,64,0,99,99,2022-10-01,5
6,3:30 PM,Maryland,27,Michigan State,13,Maryland,Michigan State,99,99,58,110,0,99,99,2022-10-01,5
6,12:00 PM,Memphis,24,Temple,3,Memphis,Temple,99,99,60,182,0,99,99,2022-10-01,5
6,12:00 PM,(4) Michigan,27,Iowa,14,Michigan,Iowa,99,4,44,109,1,4,99,2022-10-01,5
6,12:00 PM,(14) Mississippi,22,(7) Kentucky,19,Mississippi,Kentucky,99,7,67,90,0,14,7,2022-10-01,5
6,4:00 PM,Mississippi State,42,(17) Texas A&M,24,Mississippi State,Texas A&M,99,99,68,188,0,99,17,2022-10-01,5
6,7:30 PM,Nebraska,35,Indiana,21,Nebraska,Indiana,99,99,71,80,0,99,99,2022-10-01,5
6,3:30 PM,North Carolina,41,Virginia Tech,10,North Carolina,Virginia Tech,99,99,77,207,0,99,99,2022-10-01,5
6,4:00 PM,North Texas,45,Florida Atlantic,28,North Texas,Florida Atlantic,99,99,79,58,0,99,99,2022-10-01,5
6,3:30 PM,(3) Ohio State,49,Rutgers,10,Ohio State,Rutgers,3,99,84,156,0,3,99,2022-10-01,5
6,3:30 PM,(9) Oklahoma State,36,(16) Baylor,25,Oklahoma State,Baylor,99,9,12,144,1,9,16,2022-10-01,5
6,11:00 PM,(13) Oregon,45,Stanford,27,Oregon,Stanford,99,99,88,177,0,13,99,2022-10-01,5
6,3:30 PM,(11) Penn State,17,Northwestern,7,Penn State,Northwestern,99,99,90,138,0,11,99,2022-10-01,5
6,12:00 PM,Purdue,20,(21) Minnesota,10,Purdue,Minnesota,99,99,66,151,1,99,21,2022-10-01,5
6,7:30 PM,Rice,28,Alabama-Birmingham,24,Rice,Alabama-Birmingham,99,99,93,6,0,99,99,2022-10-01,5
6,7:30 PM,San Jose State,33,Wyoming,16,San Jose State,Wyoming,99,99,131,161,1,99,99,2022-10-01,5
6,5:00 PM,South Alabama,20,Louisiana,17,South Alabama,Louisiana,99,99,52,162,1,99,99,2022-10-01,5
6,10:30 PM,(6) Southern California,42,Arizona State,25,Southern California,Arizona State,6,99,100,11,0,6,99,2022-10-01,5
6,5:00 PM,Syracuse,59,Wagner,0,Syracuse,Wagner,99,99,104,208,0,99,99,2022-10-01,5
6,7:30 PM,Texas,38,West Virginia,20,Texas,West Virginia,99,99,107,213,0,99,99,2022-10-01,5
6,12:00 PM,Texas Christian,55,(18) Oklahoma,24,Texas Christian,Oklahoma,99,99,109,143,0,99,18,2022-10-01,5
6,6:00 PM,Texas-El Paso,41,Charlotte,35,Texas-El Paso,Charlotte,99,99,21,193,1,99,99,2022-10-01,5
6,3:30 PM,Toledo,38,Central Michigan,17,Toledo,Central Michigan,99,99,114,35,0,99,99,2022-10-01,5
6,7:00 PM,Troy,34,Western Kentucky,27,Troy,Western Kentucky,99,99,128,197,1,99,99,2022-10-01,5
6,2:00 PM,(12) Utah,42,Oregon State,16,Utah,Oregon State,99,99,119,147,0,12,99,2022-10-01,5
6,3:30 PM,(22) Wake Forest,31,(23) Florida State,21,Wake Forest,Florida State,99,99,34,209,1,22,23,2022-10-01,5
6,5:30 PM,Washington State,28,California,9,Washington State,California,99,99,126,29,0,99,99,2022-10-01,5
6,6:00 PM,Western Michigan,44,New Hampshire,7,Western Michigan,New Hampshire,99,99,129,123,0,99,99,2022-10-01,5
6,12:00 PM,Florida,52,Eastern Washington,17,Florida,Eastern Washington,99,99,31,54,0,99,99,2022-10-02,6
7,7:00 PM,Central Florida,41,Southern Methodist,19,Central Florida,Southern Methodist,99,99,19,173,0,99,99,2022-10-05,2
7,10:30 PM,Colorado State,17,Nevada,14,Colorado State,Nevada,99,99,73,45,1,99,99,2022-10-07,4
7,7:30 PM,Houston,33,Memphis,32,Houston,Memphis,99,99,60,72,1,99,99,2022-10-07,4
7,7:00 PM,Nebraska,14,Rutgers,13,Nebraska,Rutgers,99,99,94,120,1,99,99,2022-10-07,4
7,10:30 PM,San Jose State,40,Nevada-Las Vegas,7,San Jose State,Nevada-Las Vegas,99,99,96,122,0,99,99,2022-10-07,4
7,8:00 PM,(1) Alabama,24,Texas A&M,20,Alabama,Texas A&M,1,99,2,188,0,1,99,2022-10-08,5
7,3:30 PM,Alabama-Birmingham,41,Middle Tennessee State,14,Alabama-Birmingham,Middle Tennessee State,99,99,3,111,0,99,99,2022-10-08,5
7,4:00 PM,Arizona State,45,(21) Washington,38,Arizona State,Washington,99,99,6,210,0,99,21,2022-10-08,5
7,3:30 PM,Ball State,17,Central Michigan,16,Ball State,Central Michigan,99,99,20,18,1,99,99,2022-10-08,5
7,9:45 PM,Boise State,40,Fresno State,20,Boise State,Fresno State,99,99,13,62,0,99,99,2022-10-08,5
7,12:00 PM,Buffalo,38,Bowling Green,7,Buffalo,Bowling Green,99,99,15,27,1,99,99,2022-10-08,5
7,2:30 PM,(24) Cincinnati,28,South Florida,24,Cincinnati,South Florida,99,99,22,167,0,24,99,2022-10-08,5
7,7:30 PM,(5) Clemson,31,Boston College,3,Clemson,Boston College,99,5,14,41,1,5,99,2022-10-08,5
7,8:00 PM,Coastal Carolina,28,Louisiana-Monroe,21,Coastal Carolina,Louisiana-Monroe,99,99,55,42,1,99,99,2022-10-08,5
7,7:00 PM,Connecticut,33,Florida International,12,Connecticut,Florida International,99,99,33,46,1,99,99,2022-10-08,5
7,12:00 PM,Eastern Michigan,45,Western Michigan,23,Eastern Michigan,Western Michigan,99,99,129,53,1,99,99,2022-10-08,5
7,12:00 PM,Florida,24,Missouri,17,Florida,Missouri,99,99,31,115,0,99,99,2022-10-08,5
7,3:30 PM,(2) Georgia,42,Auburn,10,Georgia,Auburn,2,99,36,16,0,2,99,2022-10-08,5
7,2:00 PM,Georgia State,41,Georgia Southern,33,Georgia State,Georgia Southern,99,99,38,66,0,99,99,2022-10-08,5
7,4:00 PM,Georgia Tech,23,Duke,20,Georgia Tech,Duke,99,99,39,48,0,99,99,2022-10-08,5
7,7:30 PM,Illinois,9,Iowa,6,Illinois,Iowa,99,99,42,82,0,99,99,2022-10-08,5
7,7:00 PM,James Madison,42,Arkansas State,20,James Madison,Arkansas State,99,99,8,85,1,99,99,2022-10-08,5
7,7:30 PM,(20) Kansas State,10,Iowa State,9,Kansas State,Iowa State,99,99,45,87,1,20,99,2022-10-08,5
7,3:30 PM,Liberty,42,Massachusetts,24,Liberty,Massachusetts,99,99,59,93,1,99,99,2022-10-08,5
7,7:00 PM,Louisiana Tech,41,Texas-El Paso,31,Louisiana Tech,Texas-El Paso,99,99,54,193,0,99,99,2022-10-08,5
7,12:00 PM,Louisville,34,Virginia,17,Louisville,Virginia,99,99,122,99,1,99,99,2022-10-08,5
7,3:30 PM,Miami (OH),27,Kent State,24,Miami (OH),Kent State,99,99,62,89,0,99,99,2022-10-08,5
7,12:00 PM,(4) Michigan,31,Indiana,10,Michigan,Indiana,99,4,43,109,1,4,99,2022-10-08,5
7,4:00 PM,(9) Mississippi,52,Vanderbilt,28,Mississippi,Vanderbilt,99,9,121,113,1,9,99,2022-10-08,5
7,12:00 PM,(23) Mississippi State,40,Arkansas,17,Mississippi State,Arkansas,99,99,68,12,0,23,99,2022-10-08,5
7,3:30 PM,Navy,53,Tulsa,21,Navy,Tulsa,99,99,70,199,0,99,99,2022-10-08,5
7,4:00 PM,North Carolina,27,Miami (FL),24,North Carolina,Miami (FL),99,99,61,128,1,99,99,2022-10-08,5
7,8:00 PM,(14) North Carolina State,19,Florida State,17,North Carolina State,Florida State,99,99,78,60,0,14,99,2022-10-08,5
7,7:30 PM,Notre Dame,28,(16) Brigham Young,20,Notre Dame,Brigham Young,99,99,72,223,3,99,16,2022-10-08,5
7,2:00 PM,Ohio,55,Akron,34,Ohio,Akron,99,99,83,2,0,99,99,2022-10-08,5
7,4:00 PM,(3) Ohio State,49,Michigan State,20,Ohio State,Michigan State,99,3,64,142,1,3,99,2022-10-08,5
7,3:30 PM,(7) Oklahoma State,41,Texas Tech,31,Oklahoma State,Texas Tech,7,99,86,192,0,7,99,2022-10-08,5
7,8:00 PM,(12) Oregon,49,Arizona,22,Oregon,Arizona,99,99,5,146,1,12,99,2022-10-08,5
7,11:00 PM,Oregon State,28,Stanford,27,Oregon State,Stanford,99,99,103,147,1,99,99,2022-10-08,5
7,3:30 PM,Pittsburgh,45,Virginia Tech,29,Pittsburgh,Virginia Tech,99,99,91,207,0,99,99,2022-10-08,5
7,12:00 PM,Purdue,31,Maryland,29,Purdue,Maryland,99,99,58,151,1,99,99,2022-10-08,5
7,10:30 PM,San Diego State,16,Hawaii,14,San Diego State,Hawaii,99,99,95,70,0,99,99,2022-10-08,5
7,7:30 PM,South Carolina,24,(13) Kentucky,14,South Carolina,Kentucky,99,99,50,163,1,99,13,2022-10-08,5
7,7:30 PM,(6) Southern California,30,Washington State,14,Southern California,Washington State,6,99,100,211,0,6,99,2022-10-08,5
7,12:00 PM,(8) Tennessee,40,(25) Louisiana State,13,Tennessee,Louisiana State,99,8,53,183,1,8,25,2022-10-08,5
7,12:00 PM,Texas,49,Oklahoma,0,Texas,Oklahoma,99,99,72,223,3,99,99,2022-10-08,5
7,12:00 PM,(17) Texas Christian,38,(19) Kansas,31,Texas Christian,Kansas,99,99,47,189,1,17,19,2022-10-08,5
7,7:00 PM,Texas State,36,Appalachian State,24,Texas State,Appalachian State,99,99,110,9,0,99,99,2022-10-08,5
7,6:00 PM,Texas-San Antonio,31,Western Kentucky,28,Texas-San Antonio,Western Kentucky,99,99,113,216,0,99,99,2022-10-08,5
7,3:30 PM,Toledo,52,Northern Illinois,32,Toledo,Northern Illinois,99,99,80,195,1,99,99,2022-10-08,5
7,7:00 PM,Troy,27,Southern Mississippi,10,Troy,Southern Mississippi,99,99,115,174,0,99,99,2022-10-08,5
7,3:30 PM,Tulane,24,East Carolina,9,Tulane,East Carolina,99,99,116,50,0,99,99,2022-10-08,5
7,3:30 PM,(18) UCLA,42,(11) Utah,32,UCLA,Utah,99,99,118,201,0,18,11,2022-10-08,5
7,7:00 PM,Utah State,34,Air Force,27,Utah State,Air Force,99,99,120,1,0,99,99,2022-10-08,5
7,7:30 PM,(15) Wake Forest,45,Army,10,Wake Forest,Army,99,99,124,15,0,15,99,2022-10-08,5
7,3:30 PM,Wisconsin,42,Northwestern,7,Wisconsin,Northwestern,99,99,81,219,1,99,99,2022-10-08,5
7,7:00 PM,Wyoming,27,New Mexico,14,Wyoming,New Mexico,99,99,75,221,1,99,99,2022-10-08,5
8,7:30 PM,Louisiana,23,Marshall,13,Louisiana,Marshall,99,99,57,95,1,99,99,2022-10-12,2
8,7:00 PM,Central Florida,70,Temple,13,Central Florida,Temple,99,99,19,182,0,99,99,2022-10-13,3
8,7:00 PM,West Virginia,43,Baylor,40,West Virginia,Baylor,99,99,127,19,0,99,99,2022-10-13,3
8,7:30 PM,Southern Methodist,40,Navy,34,Southern Methodist,Navy,99,99,101,119,0,99,99,2022-10-14,4
8,8:00 PM,Texas-San Antonio,30,Florida International,10,Texas-San Antonio,Florida International,99,99,33,194,1,99,99,2022-10-14,4
8,9:30 PM,Air Force,42,Nevada-Las Vegas,7,Air Force,Nevada-Las Vegas,99,99,74,1,1,99,99,2022-10-15,5
8,3:30 PM,Alabama-Birmingham,34,Charlotte,20,Alabama-Birmingham,Charlotte,99,99,3,37,0,99,99,2022-10-15,5
8,3:30 PM,Arkansas,52,Brigham Young,35,Arkansas,Brigham Young,99,99,16,12,1,99,99,2022-10-15,5
8,12:00 PM,Army,42,Colgate,17,Army,Colgate,99,99,9,43,0,99,99,2022-10-15,5
8,2:00 PM,Ball State,25,Connecticut,21,Ball State,Connecticut,99,99,11,46,0,99,99,2022-10-15,5
