Wk,Time,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,dates,day_code
2,3:30 PM,(24) Houston,37,Texas-San Antonio,35,Houston,Texas-San Antonio,99,99,113,72,1,24,99,2022-09-03,5
2,12:00 PM,Iowa,7,South Dakota State,3,Iowa,South Dakota State,99,99,44,166,0,99,99,2022-09-03,5
2,2:00 PM,Iowa State,42,Southeast Missouri State,10,Iowa State,Southeast Missouri State,99,99,45,168,0,99,99,2022-09-03,5
2,6:00 PM,James Madison,44,Middle Tennessee State,7,James Madison,Middle Tennessee State,99,99,46,111,0,99,99,2022-09-03,5
2,7:00 PM,Kansas State,34,South Dakota,0,Kansas State,South Dakota,99,99,48,165,0,99,99,2022-09-03,5
2,7:00 PM,(20) Kentucky,37,Miami (OH),13,Kentucky,Miami (OH),99,99,50,108,0,20,99,2022-09-03,5
2,7:00 PM,Liberty,29,Southern Mississippi,27,Liberty,Southern Mississippi,99,99,102,93,1,99,99,2022-09-03,5
2,7:00 PM,Louisiana,24,Southeastern Louisiana,7,Louisiana,Southeastern Louisiana,99,99,52,169,0,99,99,2022-09-03,5
2,3:30 PM,Marshall,55,Norfolk State,3,Marshall,Norfolk State,99,99,57,127,0,99,99,2022-09-03,5
2,12:00 PM,Maryland,31,Buffalo,10,Maryland,Buffalo,99,99,58,27,0,99,99,2022-09-03,5
2,3:30 PM,(16) Miami (FL),70,Bethune-Cookman,13,Miami (FL),Bethune-Cookman,99,99,61,20,0,16,99,2022-09-03,5
2,12:00 PM,(8) Michigan,51,Colorado State,7,Michigan,Colorado State,8,99,63,45,0,8,99,2022-09-03,5
2,4:00 PM,(21) Mississippi,28,Troy,10,Mississippi,Troy,99,99,67,197,0,21,99,2022-09-03,5
2,7:30 PM,Mississippi State,49,Memphis,23,Mississippi State,Memphis,99,99,68,105,0,99,99,2022-09-03,5
2,3:30 PM,Nebraska,38,North Dakota,17,Nebraska,North Dakota,99,99,71,131,0,99,99,2022-09-03,5
2,5:30 PM,Nevada,38,Texas State,14,Nevada,Texas State,99,99,73,191,0,99,99,2022-09-03,5
2,8:00 PM,New Mexico,41,Maine,0,New Mexico,Maine,99,99,75,100,0,99,99,2022-09-03,5
2,12:00 PM,North Carolina,63,Appalachian State,61,North Carolina,Appalachian State,99,99,4,128,1,99,99,2022-09-03,5
2,12:00 PM,(13) North Carolina State,21,East Carolina,20,North Carolina State,East Carolina,99,99,29,130,1,13,99,2022-09-03,5
2,6:00 PM,Ohio,41,Florida Atlantic,38,Ohio,Florida Atlantic,99,99,83,58,0,99,99,2022-09-03,5
2,7:30 PM,(2) Ohio State,21,(5) Notre Dame,10,Ohio State,Notre Dame,2,5,84,140,0,2,5,2022-09-03,5
2,3:30 PM,(9) Oklahoma,45,Texas-El Paso,13,Oklahoma,Texas-El Paso,9,99,85,193,0,9,99,2022-09-03,5
2,10:30 PM,Oregon State,34,Boise State,17,Oregon State,Boise State,99,99,89,21,0,99,99,2022-09-03,5
2,12:00 PM,Rutgers,22,Boston College,21,Rutgers,Boston College,99,99,14,156,1,99,99,2022-09-03,5
2,5:00 PM,South Alabama,48,Nicholls State,7,South Alabama,Nicholls State,99,99,97,126,0,99,99,2022-09-03,5
2,7:30 PM,South Carolina,35,Georgia State,14,South Carolina,Georgia State,99,99,98,67,0,99,99,2022-09-03,5
2,6:00 PM,(14) Southern California,66,Rice,14,Southern California,Rice,99,99,100,153,0,14,99,2022-09-03,5
2,7:30 PM,Southern Methodist,48,North Texas,10,Southern Methodist,North Texas,99,99,79,173,1,99,99,2022-09-03,5
2,8:00 PM,Stanford,41,Colgate,10,Stanford,Colgate,99,99,103,43,0,99,99,2022-09-03,5
2,8:00 PM,Syracuse,31,Louisville,7,Syracuse,Louisville,99,99,104,99,0,99,99,2022-09-03,5
2,8:00 PM,Texas,52,Louisiana-Monroe,10,Texas,Louisiana-Monroe,99,99,107,98,0,99,99,2022-09-03,5
2,12:00 PM,(6) Texas A&M,31,Sam Houston State,0,Texas A&M,Sam Houston State,6,99,108,158,0,6,99,2022-09-03,5
2,8:00 PM,Texas Tech,63,Murray State,10,Texas Tech,Murray State,99,99,111,118,0,99,99,2022-09-03,5
