Player,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nathan Aké,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daley Blind,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.06,0.03,0.08,0.06,0.08,Matches
Denzel Dumfries,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andries Noppert,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Virgil van Dijk,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.04,0.08,0.04,0.08,Matches
Frenkie de Jong,3,3,265,2.9,1,1,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,0.9,0.9,0.2,1.1,0.3,0.06,0.36,0.3,0.36,Matches
Cody Gakpo,3,3,249,2.8,3,0,3,0,0,0,0,1.08,0,1.08,1.08,1.08,0.3,0.3,0.3,0.6,0.1,0.12,0.22,0.1,0.22,Matches
Jurrien Timber,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Davy Klaassen,3,2,145,1.6,1,2,1,0,0,0,0,0.62,1.24,1.86,0.62,1.86,0.2,0.2,0.3,0.5,0.15,0.18,0.32,0.15,0.32,Matches
Steven Bergwijn,2,2,123,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Memphis Depay,3,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0,0.9,0.58,0.02,0.6,0.58,0.6,Matches
Steven Berghuis,3,1,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0.02,0.08,0.06,0.08,Matches
Teun Koopmeiners,3,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.04,0.04,0.08,0.04,0.08,Matches
Marten de Roon,3,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Matthijs de Ligt,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Vincent Janssen,2,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0.04,0.13,0.09,0.13,Matches
Wout Weghorst,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
Kenneth Taylor,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,3,33,270,3,5,3,5,0,0,2,0,1.67,1,2.67,1.67,2.67,2.4,2.4,1.2,3.5,0.79,0.39,1.18,0.79,1.18,
Opponent Total,3,33,270,3,1,0,1,0,0,3,0,0.33,0,0.33,0.33,0.33,2.7,2.7,1.6,4.3,0.9,0.53,1.43,0.9,1.43,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
