Player,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marcelo Brozović,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.15,0,0.15,0.15,0.15,Matches
Joško Gvardiol,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Josip Juranović,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0,0,0.1,0.2,0.01,0.04,0.06,0.01,0.06,Matches
Dominik Livaković,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dejan Lovren,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,Matches
Borna Sosa,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,0.02,0.12,0.15,0.02,0.15,Matches
Luka Modrić,3,3,265,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.5,0.8,0.08,0.19,0.26,0.08,0.26,Matches
Ivan Perišić,3,3,264,2.9,0,2,0,0,0,0,0,0,0.68,0.68,0,0.68,0.2,0.2,0.6,0.8,0.07,0.2,0.27,0.07,0.27,Matches
Mateo Kovačić,3,3,252,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.02,0.31,0.32,0.02,0.32,Matches
Andrej Kramarić,3,3,205,2.3,2,0,2,0,0,0,0,0.88,0,0.88,0.88,0.88,1.1,1.1,0.1,1.1,0.46,0.04,0.5,0.46,0.5,Matches
Marko Livaja,3,2,142,1.6,1,0,1,0,0,0,0,0.63,0,0.63,0.63,0.63,0.7,0.7,0,0.7,0.44,0.02,0.46,0.44,0.46,Matches
Nikola Vlašić,2,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.47,0,0.47,0.47,0.47,Matches
Mario Pašalić,3,0,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bruno Petković,2,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.31,0.31,0,0.31,Matches
Lovro Majer,3,0,18,0.2,1,0,1,0,0,0,0,5,0,5,5,5,0.6,0.6,0,0.6,2.78,0,2.78,2.78,2.78,Matches
Mislav Oršić,2,0,6,0.1,0,1,0,0,0,0,0,0,15,15,0,15,0.1,0.1,0.6,0.6,1.01,8.35,9.36,1.01,9.36,Matches
Squad Total,3,33,270,3,4,4,4,0,0,2,0,1.33,1.33,2.67,1.33,2.67,3.8,3.8,3.4,7.2,1.26,1.13,2.39,1.26,2.39,
Opponent Total,3,33,270,3,1,1,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67,3.8,3.8,2.6,6.4,1.27,0.87,2.14,1.27,2.14,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
