MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xAG,npxG+xAG,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
3.0,33.0,270.0,3.0,5.0,4.0,4.0,1.0,2.0,2.0,0.0,1.67,1.33,3.0,1.33,2.67,6.0,4.6,3.4,8.0,1.99,1.14,3.13,1.53,2.67
3.0,33.0,270.0,3.0,2.0,1.0,2.0,0.0,0.0,11.0,0.0,0.67,0.33,1.0,0.67,1.0,0.7,0.7,0.6,1.3,0.25,0.2,0.44,0.25,0.44
