Player,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Shūichi Gonda,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ko Itakura,3,3,270,3,0,1,0,0,0,2,0,0,0.33,0.33,0,0.33,0.2,0.2,0.1,0.2,0.05,0.03,0.08,0.05,0.08,Matches
Maya Yoshida,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daichi Kamada,3,3,248,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.5,0.16,0.01,0.17,0.16,0.17,Matches
Yuto Nagatomo,3,3,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07,Matches
Junya Ito,3,2,204,2.3,0,1,0,0,0,0,0,0,0.44,0.44,0,0.44,0.2,0.2,0.2,0.4,0.08,0.09,0.16,0.08,0.16,Matches
Wataru Endo,3,2,184,2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05,Matches
Hidemasa Morita,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.02,0.02,0.04,0.02,0.04,Matches
Ao Tanaka,2,2,156,1.7,1,0,1,0,0,0,0,0.58,0,0.58,0.58,0.58,1,1,0.1,1,0.55,0.05,0.6,0.55,0.6,Matches
Daizen Maeda,2,2,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.08,0,0.08,0.08,0.08,Matches
Takefusa Kubo,2,2,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ritsu Doan,3,1,131,1.5,2,0,2,0,0,0,0,1.37,0,1.37,1.37,1.37,0.4,0.4,0.2,0.6,0.31,0.12,0.43,0.31,0.43,Matches
Shogo Taniguchi,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Yuki Soma,1,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.21,0,0.21,0.21,0.21,Matches
Hiroki Sakai,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0.66,0.09,0.75,0.66,0.75,Matches
Miki Yamane,1,1,61,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.11,0.11,0,0.11,Matches
Ayase Ueda,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
Takuma Asano,3,0,108,1.2,1,0,1,0,0,0,0,0.83,0,0.83,0.83,0.83,0.7,0.7,0.2,0.9,0.55,0.21,0.75,0.55,0.75,Matches
Kaoru Mitoma,3,0,108,1.2,0,1,0,0,0,0,0,0,0.83,0.83,0,0.83,0,0,1.2,1.2,0,1.04,1.04,0,1.04,Matches
Takehiro Tomiyasu,2,0,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
Hiroki Ito,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches
Takumi Minamino,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
Squad Total,3,33,270,3,4,3,4,0,0,6,0,1.33,1,2.33,1.33,2.33,3.8,3.8,2.4,6.2,1.26,0.81,2.07,1.26,2.07,
Opponent Total,3,33,270,3,3,2,2,1,1,3,0,1,0.67,1.67,0.67,1.33,4.2,3.4,2.3,5.8,1.4,0.78,2.18,1.14,1.92,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
