Wk,Time,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,dates,day_code
1,7:00 PM,Florida Atlantic,43,Charlotte,13,Florida Atlantic,Charlotte,99,99,32,37,0,99,99,2022-08-27,5
1,5:00 PM,Florida State,47,Duquesne,7,Florida State,Duquesne,99,99,34,49,0,99,99,2022-08-27,5
1,4:00 PM,Illinois,38,Wyoming,6,Illinois,Wyoming,99,99,42,224,0,99,99,2022-08-27,5
1,10:00 PM,Nevada,23,New Mexico State,12,Nevada,New Mexico State,99,99,76,122,1,99,99,2022-08-27,5
1,3:30 PM,Nevada-Las Vegas,52,Idaho State,21,Nevada-Las Vegas,Idaho State,99,99,74,77,0,99,99,2022-08-27,5
1,8:00 PM,North Carolina,56,Florida A&M,24,North Carolina,Florida A&M,99,99,77,58,0,99,99,2022-08-27,5
1,9:00 PM,North Texas,31,Texas-El Paso,13,North Texas,Texas-El Paso,99,99,112,135,1,99,99,2022-08-27,5
1,12:30 PM,Northwestern,31,Nebraska,28,Northwestern,Nebraska,99,99,72,226,3,99,99,2022-08-27,5
1,4:00 PM,Utah State,31,Connecticut,20,Utah State,Connecticut,99,99,120,46,0,99,99,2022-08-27,5
1,10:30 PM,Vanderbilt,63,Hawaii,10,Vanderbilt,Hawaii,99,99,40,206,1,99,99,2022-08-27,5
1,12:00 PM,Western Kentucky,38,Austin Peay,27,Western Kentucky,Austin Peay,99,99,128,17,0,99,99,2022-08-27,5
2,6:00 PM,Akron,30,St. Francis (PA),23,Akron,St. Francis (PA),99,99,1,178,0,99,99,2022-09-01,3
2,8:00 PM,Alabama-Birmingham,59,Alabama A&M,0,Alabama-Birmingham,Alabama A&M,99,99,3,4,0,99,99,2022-09-01,3
2,10:00 PM,Arizona State,40,Northern Arizona,3,Arizona State,Northern Arizona,99,99,6,136,0,99,99,2022-09-01,3
2,7:00 PM,Central Florida,56,South Carolina State,10,Central Florida,South Carolina State,99,99,19,166,0,99,99,2022-09-01,3
2,7:00 PM,Florida International,38,Bryant,37,Florida International,Bryant,99,99,33,25,0,99,99,2022-09-01,3
2,10:30 PM,Fresno State,35,Cal Poly,7,Fresno State,Cal Poly,99,99,35,28,0,99,99,2022-09-01,3
2,9:00 PM,Minnesota,38,New Mexico State,0,Minnesota,New Mexico State,99,99,66,126,0,99,99,2022-09-01,3
