Wk,Pts,Pts.1,home_results,loser_rank,winner_rank,winner,loser,date_time,win_new,lose_new
2,38.0,0.0,0,99,18, Wisconsin,Illinois State,2022-09-03 19:00:00,28,98
2,40.0,37.0,0,99,99,Wyoming,Tulsa,2022-09-03 15:30:00,162,205
2,24.0,23.0,3,99,99,Florida State,Louisiana State,2022-09-04 19:30:00,63,113
2,49.0,17.0,1,99,99,Western Kentucky,Hawaii,2022-09-04 12:00:00,158,91
2,41.0,10.0,1,99,4,Clemson,Georgia Tech,2022-09-05 20:00:00,50,89
3,31.0,14.0,1,99,99,Boise State,New Mexico,2022-09-09 21:00:00,41,140
3,20.0,14.0,1,99,99,Louisville,Central Florida,2022-09-09 19:30:00,87,59
3,41.0,10.0,0,99,99,Air Force,Colorado,2022-09-10 15:30:00,29,67
3,20.0,19.0,1,99,1,Alabama,Texas,2022-09-10 12:00:00,31,194
3,17.0,14.0,1,6,99,Appalachian State,Texas A&M,2022-09-10 15:30:00,33,195
3,44.0,30.0,0,99,16, Arkansas,South Carolina,2022-09-10 12:00:00,0,173
3,24.0,16.0,0,99,99,Auburn,San Jose State,2022-09-10 19:30:00,39,171
3,26.0,20.0,0,9,21, Brigham Young,Baylor,2022-09-10 10:15:00,2,45
3,20.0,14.0,0,99,99,California,Nevada-Las Vegas,2022-09-10 16:00:00,45,138
3,63.0,10.0,0,99,99,Cincinnati,Kennesaw State,2022-09-10 15:30:00,49,105
3,35.0,12.0,0,99,5,Clemson,Furman,2022-09-10 15:30:00,50,85
3,31.0,27.0,0,99,99,Coastal Carolina,Gardner-Webb,2022-09-10 18:00:00,51,86
3,31.0,23.0,1,99,99,Duke,Northwestern,2022-09-10 12:00:00,56,153
3,39.0,21.0,0,99,99,East Carolina,Old Dominion,2022-09-10 18:00:00,57,159
3,59.0,57.0,1,99,99,Eastern Kentucky,Bowling Green,2022-09-10 16:00:00,58,49
3,42.0,9.0,0,99,99,Florida Atlantic,Southeastern Louisiana,2022-09-10 18:00:00,61,179
3,33.0,0.0,0,99,2,Georgia,Samford,2022-09-10 16:00:00,65,169
3,45.0,42.0,1,99,99,Georgia Southern,Nebraska,2022-09-10 19:30:00,66,136
3,35.0,17.0,0,99,99,Georgia Tech,Western Carolina,2022-09-10 19:00:00,68,216
3,37.0,31.0,1,99,99,Holy Cross,Buffalo,2022-09-10 18:00:00,70,53
3,24.0,3.0,0,99,99,Illinois,Virginia,2022-09-10 16:00:00,72,210
3,55.0,41.0,1,99,99,Incarnate Word,Nevada,2022-09-10 17:30:00,73,137
3,35.0,22.0,0,99,99,Indiana,Idaho,2022-09-10 20:00:00,74,95
3,10.0,7.0,1,99,99,Iowa State,Iowa,2022-09-10 16:00:00,76,101
3,63.0,7.0,0,99,99,James Madison,Norfolk State,2022-09-10 16:00:00,77,143
3,55.0,42.0,1,99,99,Kansas,West Virginia,2022-09-10 18:00:00,78,215
3,40.0,12.0,0,99,99,Kansas State,Missouri,2022-09-10 12:00:00,79,130
3,26.0,16.0,1,12,20, Kentucky, Florida,2022-09-10 19:00:00,8,4
3,21.0,14.0,0,99,99,Liberty,Alabama-Birmingham,2022-09-10 18:00:00,82,32
3,65.0,17.0,0,99,99,Louisiana State,Southern,2022-09-10 19:00:00,84,180
3,52.0,17.0,0,99,99,Louisiana Tech,Stephen F. Austin,2022-09-10 20:00:00,85,187
3,35.0,7.0,0,99,99,Louisiana-Monroe,Nicholls State,2022-09-10 14:30:00,86,142
3,26.0,21.0,1,8,99,Marshall,Notre Dame,2022-09-10 15:30:00,88,155
3,56.0,21.0,1,99,99,Maryland,Charlotte,2022-09-10 15:30:00,89,62
3,37.0,13.0,1,99,99,Memphis,Navy,2022-09-10 12:00:00,91,135
3,30.0,7.0,0,99,15, Miami (FL),Southern Mississippi,2022-09-10 18:00:00,9,183
3,31.0,14.0,0,99,99,Miami (OH),Robert Morris,2022-09-10 20:00:00,93,166
3,56.0,10.0,0,99,4,Michigan,Hawaii,2022-09-10 16:00:00,94,91
3,52.0,0.0,0,99,14, Michigan State,Akron,2022-09-10 16:00:00,10,28
3,34.0,19.0,1,99,99,Middle Tennessee State,Colorado State,2022-09-10 12:00:00,96,68
3,62.0,10.0,0,99,99,Minnesota,Western Illinois,2022-09-10 11:00:00,97,217
3,39.0,17.0,1,99,99,Mississippi State,Arizona,2022-09-10 12:30:00,99,36
3,35.0,28.0,1,99,99,North Carolina,Georgia State,2022-09-10 19:30:00,107,88
3,55.0,3.0,0,99,18, North Carolina State,Charleston Southern,2022-09-10 12:00:00,13,61
3,59.0,27.0,0,99,99,North Texas,Texas Southern,2022-09-10 19:00:00,108,196
3,45.0,12.0,0,99,3,Ohio State,Arkansas State,2022-09-10 19:30:00,113,39
3,33.0,3.0,0,99,7,Oklahoma,Kent State,2022-09-10 20:30:00,114,106
3,34.0,17.0,0,99,11, Oklahoma State,Arizona State,2022-09-10 10:30:00,14,37
3,70.0,14.0,0,99,99,Oregon,Eastern Washington,2022-09-10 12:00:00,117,76
3,35.0,32.0,1,99,99,Oregon State,Fresno State,2022-09-10 16:00:00,118,84
3,46.0,10.0,0,99,99,Penn State,Ohio,2022-09-10 19:30:00,119,156
3,56.0,0.0,0,99,99,Purdue,Indiana State,2022-09-10 16:00:00,121,100
3,52.0,10.0,0,99,99,Rice,McNeese State,2022-09-10 20:00:00,122,121
3,66.0,7.0,0,99,99,Rutgers,Wagner,2022-09-10 13:00:00,123,213
3,38.0,7.0,0,99,99,San Diego State,Idaho State,2022-09-10 19:00:00,125,96
3,38.0,24.0,1,99,99,South Alabama,Central Michigan,2022-09-10 19:30:00,127,60
3,42.0,20.0,0,99,99,South Florida,Howard,2022-09-10 19:00:00,129,94
3,41.0,28.0,1,99,10, Southern California,Stanford,2022-09-10 19:00:00,18,186
3,45.0,16.0,0,99,99,Southern Methodist,Lamar,2022-09-10 14:00:00,132,109
3,48.0,14.0,1,99,99,Syracuse,Connecticut,2022-09-10 15:30:00,135,69
3,30.0,14.0,0,99,99,Temple,Lafayette,2022-09-10 20:00:00,136,108
3,34.0,27.0,1,17,24, Tennessee, Pittsburgh,2022-09-10 19:00:00,20,19
3,59.0,17.0,0,99,99,Texas Christian,Tarleton State,2022-09-10 16:00:00,140,189
3,41.0,12.0,0,99,99,Texas State,Florida International,2022-09-10 21:00:00,141,81
3,33.0,30.0,0,25,99,Texas Tech, Houston,2022-09-10 12:00:00,142,6
3,20.0,13.0,0,99,99,Texas-El Paso,New Mexico State,2022-09-10 19:00:00,143,141
3,41.0,38.0,1,99,99,Texas-San Antonio,Army,2022-09-10 20:00:00,144,41
3,55.0,10.0,0,99,99,Toledo,Massachusetts,2022-09-10 19:00:00,145,120
3,38.0,17.0,0,99,99,Troy,Alabama A&M,2022-09-10 19:00:00,146,30
3,52.0,0.0,0,99,99,Tulane,Alcorn State,2022-09-10 17:00:00,147,34
3,38.0,35.0,0,99,99,Tulsa,Northern Illinois,2022-09-10 13:30:00,148,151
3,45.0,7.0,0,99,99,UCLA,Alabama State,2022-09-10 20:00:00,149,31
3,73.0,7.0,0,99,13, Utah,Southern Utah,2022-09-10 12:00:00,25,184
3,27.0,10.0,0,99,99,Virginia Tech,Boston College,2022-09-10 16:00:00,153,48
3,45.0,25.0,1,99,23, Wake Forest,Vanderbilt,2022-09-10 15:30:00,26,208
3,52.0,6.0,0,99,99,Washington,Portland State,2022-09-10 19:00:00,154,161
3,17.0,14.0,1,19,99,Washington State, Wisconsin,2022-09-10 14:00:00,155,25
3,35.0,7.0,1,99,99,Weber State,Utah State,2022-09-10 16:00:00,156,207
3,37.0,30.0,1,99,99,Western Michigan,Ball State,2022-09-10 19:30:00,159,44
3,33.0,10.0,0,99,99,Wyoming,Northern Colorado,2022-09-10 20:00:00,162,150
4,35.0,31.0,1,99,99,Florida State,Louisville,2022-09-16 16:00:00,63,116
4,17.0,14.0,0,99,99,Wyoming,Air Force,2022-09-16 15:30:00,162,27
4,63.0,7.0,0,99,2,Alabama,Louisiana-Monroe,2022-09-17 15:30:00,31,115
4,35.0,21.0,0,99,99,Alabama-Birmingham,Georgia Southern,2022-09-17 11:00:00,32,87
4,32.0,28.0,0,99,99,Appalachian State,Troy,2022-09-17 19:00:00,33,203
4,31.0,28.0,0,99,99,Arizona,North Dakota State,2022-09-17 12:00:00,34,147
4,38.0,27.0,0,99,10, Arkansas,Missouri State,2022-09-17 14:00:00,0,131
4,49.0,10.0,0,99,99,Army,Villanova,2022-09-17 12:00:00,38,209
4,31.0,0.0,0,99,99,Ball State,Murray State,2022-09-17 16:00:00,40,134
4,42.0,7.0,0,99,17, Baylor,Texas State,2022-09-17 19:30:00,1,197
4,30.0,7.0,0,99,99,Boise State,Tennessee-Martin,2022-09-17 17:00:00,41,193
4,38.0,17.0,0,99,99,Boston College,Maine,2022-09-17 19:30:00,42,117
4,34.0,31.0,0,99,99,Bowling Green,Marshall,2022-09-17 13:00:00,43,118
