Rk,School,G,Pts,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,off_plays,off_yds,off_avg,fdown_pass,fdown_rush,fdowns_pen,fdown_tot,pen_no.,pen_yds,off_fum,off_int,off_Tot,def_Pts,def_pass_Cmp,dpass_Att,dpass_Pct,d_pass_Yds,dpass_TD,drush_Att,drush_Yds,drush_Avg,drush_TD,doff_Plays,d_off_Yds,doff_Avg,dfdown_Pass,dfdown_Rush,dfdown_Pen,dfdown_Tot,d_penn_No.,d_penn_Yds,dturnovers_Fum,d_turnovers_Int,d_turnovers_TO
117,Utah,10,39.3,20.6,31,66.5,252.3,2.2,40.3,210.1,5.2,2.8,71.3,462.4,6.5,11.4,12.3,2.4,26.1,4.8,43.9,0.7,0.4,1.1,20,16.9,28.5,59.3,206.5,1.3,28.6,121.4,4.2,1.2,57.1,327.9,5.7,8.5,6.2,1.2,15.9,7.4,62.4,0.9,1,1.9
118,Utah State,10,22.1,16.9,29.8,56.7,185.2,1.5,42.1,159.5,3.8,0.9,71.9,344.7,4.8,8.4,8.7,2.3,19.4,8.7,79.3,0.5,1.4,1.9,29.4,15,29,51.7,190.4,1.6,41.9,208.6,5,1.6,70.9,399,5.6,8.8,10.8,2.4,22,7.3,64.6,0.6,1.1,1.7
119,UTEP,10,22.2,17.8,33.7,52.8,217.7,1.1,36.1,141.8,3.9,0.9,69.8,359.5,5.2,10.3,7.9,1.5,19.7,6.4,57.4,0.8,1,1.8,28.4,15.8,27.3,57.9,216,2,34.8,154.1,4.4,1.3,62.1,370.1,6,9.6,8.3,2.2,20.1,6.1,54.7,1.1,0.4,1.5
120,UTSA,10,38,25.4,37.6,67.6,315.4,2.4,39.9,174.2,4.4,2.3,77.5,489.6,6.3,15.6,10.3,1.7,27.6,6.7,57.1,0.6,0.6,1.2,28,21.4,35.1,61,263.1,1.6,35.5,153.6,4.3,1.6,70.6,416.7,5.9,11.1,8,1.5,20.6,7.9,65,0.5,0.8,1.3
121,Vanderbilt,10,26.4,17.2,30,57.3,203.3,1.9,35.2,159.7,4.5,1.3,65.2,363,5.6,8.2,7.6,1.7,17.5,5.3,45.8,1.2,0.5,1.7,35.2,22,33.4,65.9,293.5,2.5,34.5,164.3,4.8,1.9,67.9,457.8,6.7,12.3,7.9,1.8,22,6,54.2,1,0.5,1.5
122,Virginia,10,17,18.5,34.1,54.3,221,0.7,32.9,123.1,3.7,1.3,67,344.1,5.1,9.3,7.4,2.5,19.2,7,62.2,1,1.1,2.1,23.4,19.1,31.2,61.2,204.4,1,40.7,153.2,3.8,1.2,71.9,357.6,5,10.4,8.5,2,20.9,6.8,59,0.8,0.5,1.3
123,Virginia Tech,10,18.9,18.9,32.6,58,208.8,0.9,32.9,103.6,3.1,1.2,65.5,312.4,4.8,9.4,5.7,2.2,17.3,7.7,59.9,0.6,0.9,1.5,25,20.2,34,59.4,237,1.3,35.2,137.2,3.9,1.4,69.2,374.2,5.4,9.6,8.2,2.5,20.3,6.5,56.9,0.3,0.4,0.7
124,Wake Forest,10,36.6,22.3,35.2,63.4,309.7,3.3,38.6,128,3.3,1.4,73.8,437.7,5.9,14.3,7.8,2.5,24.6,5,43.1,0.6,1.1,1.7,28.2,20.4,34.5,59.1,252.8,2.2,37.2,141.5,3.8,1,71.7,394.3,5.5,10.4,8.4,1.1,19.9,7.3,65.5,0.8,0.5,1.3
125,Washington,10,38.4,29.3,43.9,66.7,374,2.5,30.5,124.2,4.1,2.3,74.4,498.2,6.7,17.6,7.7,1.7,27,6.7,60.2,0.1,0.6,0.7,27.6,19.1,29.6,64.5,241.9,2.2,36.2,137.6,3.8,1.1,65.8,379.5,5.8,11,9,1.9,21.9,6.4,49.9,0.4,0.6,1
126,Washington State,10,26.9,24.2,37.9,63.9,261.1,2.1,26.6,110.8,4.2,1.2,64.5,371.9,5.8,11.6,6.3,1.6,19.5,5.5,47.7,0.8,0.8,1.6,19.8,20.9,33.5,62.4,235.8,1.3,35.7,122.7,3.4,1,69.2,358.5,5.2,9.4,8,1.6,19,6.7,57.9,0.8,0.7,1.5
127,West Virginia,10,31.2,22.8,37.4,61,243.7,1.7,37,165.5,4.5,2,74.4,409.2,5.5,11.8,9.2,3.3,24.3,6.2,52,0.6,0.9,1.5,32.8,19.2,31.7,60.6,268,2,35,147.2,4.2,1.9,66.7,415.2,6.2,11.9,8.1,1.9,21.9,6.6,64.2,0.5,0.3,0.8
128,Western Kentucky,11,37.9,28,41.5,67.5,336.3,3,29.6,148.2,5,1.3,71.1,484.5,6.8,14.2,8.1,1.8,24.1,6.6,61.6,0.7,0.7,1.5,21.2,21.5,34.8,61.9,229.3,1.4,38.5,145.1,3.8,1.1,73.4,374.4,5.1,11,8.6,1.9,21.5,7.1,62.5,1.2,1.5,2.7
129,Western Michigan,11,18.9,14.5,28.5,51,175.8,0.9,38,136.5,3.6,1.2,66.5,312.3,4.7,8,7.2,2.4,17.5,6.6,63.2,0.7,1.1,1.8,25,16.8,27.5,61.3,210,1.3,35.8,143.8,4,1.5,63.3,353.8,5.6,8.7,7.3,2.3,18.3,6.9,60.5,1.2,0.7,1.9
130,Wisconsin,10,28.7,14.6,24.9,58.6,200,1.9,36.9,170.1,4.6,1.7,61.8,370.1,6,8.8,6.9,1.7,17.4,6.8,62.6,0.6,0.8,1.4,20.9,17.7,29.6,59.8,200.2,1.2,35.1,107.5,3.1,1.4,64.7,307.7,4.8,9.2,5.6,1.6,16.4,5,48.8,0.3,1.5,1.8
131,Wyoming,10,23.2,12.3,22.9,53.7,139.9,1,38.5,188.8,4.9,1.2,61.4,328.7,5.4,6.3,9.4,1.1,16.8,4.5,38.5,0.4,0.6,1,23.1,20,33.3,60.1,224.3,1.5,35.2,141.1,4,1.2,68.5,365.4,5.3,9.4,8.1,1.5,19,5.2,49.6,0.5,0.6,1.1
