,Quantity,date_time
4,19.5,2022-06-08 19:29:00
7,19.0,2022-03-08 10:09:00
13,18.7,2021-12-06 07:57:00
17,18.11,2021-09-07 07:58:00
460,17.52,2021-06-11 12:53:00
2191,15.25,2021-01-15 16:05:00
3002,14.17,2020-12-08 08:00:00
3005,14.17,2020-12-08 08:00:00
3039,14.0,2020-12-04 07:23:00
