forecast_timestamp,team,group,spi,global_o,global_d,sim_wins,sim_ties,sim_losses,sim_goal_diff,goals_scored,goals_against,group_1,group_2,group_3,group_4,make_round_of_16,make_quarters,make_semis,make_final,win_league,timestamp
2022-11-21 18:02:14 UTC,Canada,F,71.58583,1.94737,0.74608,0.82439,0.8533,1.32231,-1.0799,3.27681,4.35671,0.15274,0.21626,0.27385,0.35715,0.369,0.11525,0.03887,0.01607,0.00554,2022-11-21 18:03:37 UTC
2022-11-21 18:02:14 UTC,South Korea,H,66.12313,1.73414,0.81094,0.8293,0.85849,1.31221,-1.1132,2.92292,4.03612,0.12211,0.236,0.35147,0.29042,0.35811,0.10533,0.03784,0.01417,0.00451,2022-11-21 18:03:37 UTC
2022-11-21 18:02:14 UTC,Poland,C,68.28098,1.87603,0.83283,0.85344,0.83474,1.31182,-1.05224,3.15582,4.20806,0.12928,0.25174,0.31874,0.30024,0.38102,0.13188,0.04932,0.01438,0.00447,2022-11-21 18:03:37 UTC
2022-11-21 18:02:14 UTC,Tunisia,D,65.85461,1.63339,0.74077,0.69477,0.8664,1.43883,-1.61289,2.55186,4.16475,0.09141,0.20592,0.32678,0.37589,0.29733,0.10456,0.03819,0.01091,0.00352,2022-11-21 18:03:37 UTC
2022-11-21 18:02:14 UTC,Wales,B,65.58314,1.7128,0.81593,0.73014,0.84917,1.42069,-1.53007,2.83471,4.36478,0.07828,0.24868,0.3465,0.32654,0.32696,0.10838,0.03561,0.00958,0.00307,2022-11-21 18:03:37 UTC
2022-11-21 18:02:14 UTC,Australia,D,60.83178,1.59388,0.91112,0.64071,0.81699,1.5423,-2.02873,2.59655,4.62528,0.07966,0.18142,0.31332,0.4256,0.26108,0.08903,0.03095,0.00735,0.00217,2022-11-21 18:03:37 UTC
2022-11-21 18:02:14 UTC,Iran,B,63.32507,1.64128,0.84941,0.63148,0.61038,1.75814,-4.26869,4.15764,8.42633,0.01312,0.16875,0.32863,0.4895,0.18187,0.05959,0.02162,0.00541,0.0018,2022-11-21 18:03:37 UTC
2022-11-21 18:02:14 UTC,Cameroon,G,64.15924,1.65744,0.82883,0.50909,0.72531,1.7656,-3.00018,2.30343,5.30361,0.03809,0.15772,0.29054,0.51365,0.19581,0.05835,0.01814,0.00615,0.00169,2022-11-21 18:03:37 UTC
2022-11-21 18:02:14 UTC,Saudi Arabia,C,56.86592,1.50018,0.99118,0.59452,0.79979,1.60569,-2.27011,2.55191,4.82202,0.06944,0.17289,0.29622,0.46145,0.24233,0.06688,0.02002,0.00478,0.00109,2022-11-21 18:03:37 UTC
2022-11-21 18:02:14 UTC,Ghana,H,58.62702,1.43347,0.85806,0.46688,0.8003,1.73282,-2.75095,1.99522,4.74617,0.04768,0.13042,0.28405,0.53785,0.1781,0.03593,0.00935,0.00281,0.00071,2022-11-21 18:03:37 UTC
