Rk,School,Conf,AP Rank,W,L,srs_OSRS,srs_DSRS,SRS,score_Off,score_Def,pass_Off,pass_Def,rush_Off,rush_Def,total_Off,total_Def
1,Georgia,SEC (East),1,10,0,6.53,17.52,24.05,55.6,-7.85,10.44,3.31,6.46,1.59,8.3,2.74
2,Ohio State,Big Ten (East),2,10,0,12.42,10.46,22.88,65.52,-0.38,12.11,4.63,7.3,2.2,9.44,3.28
3,Tennessee,SEC (East),5,9,1,15.05,4.36,19.41,66.63,5.93,13.04,5.37,6.1,1.92,8.99,3.96
4,Michigan,Big Ten (East),3,10,0,7.16,12.02,19.18,57.58,-0.21,9.97,4.2,6.79,1.72,7.98,3.06
5,Alabama,SEC (West),8,8,2,8.46,10.25,18.71,58.42,-1.79,9.67,3.37,6.92,1.64,8.12,2.64
6,Texas Christian,Big 12,4,10,0,13.6,4.85,18.45,57.08,3.91,10.95,4.95,6.73,2.1,8.44,3.62
7,Kansas State,Big 12,19,7,3,5.19,11.95,17.14,51.09,-2.99,9.73,4.31,7.09,2.7,8.07,3.63
8,Texas,Big 12,,6,4,7.21,9.58,16.78,53.81,-2.17,9.94,4.15,6.77,1.76,8.13,3.08
9,Penn State,Big Ten (East),11,8,2,6.69,9.62,16.31,51.98,-0.82,9.48,4.03,6.14,2.24,7.64,3.25
10,Utah,Pac-12,10,8,2,8.42,7.85,16.27,54.78,3.62,9.95,5.32,5.8,3.02,7.56,4.2
11,Florida State,ACC (Atlantic),20,7,3,7.18,7.9,15.07,52.32,2.4,10.43,4.22,7,2.85,8.44,3.42
12,Clemson,ACC (Atlantic),9,9,1,8.92,5.89,14.81,50.78,5.37,9.08,4.52,5.72,2.67,7.17,3.8
13,LSU,SEC (West),6,8,2,6.18,8.43,14.62,50.22,0.21,9.52,4.53,5.99,2.19,7.48,3.42
14,USC,Pac-12,7,9,1,12.62,1.38,14,57.57,9.43,10.69,5.5,5.99,3.75,8.27,4.69
15,Oregon,Pac-12,12,8,2,12.57,1.43,13.99,57.52,11.62,10.63,5.8,6.72,2.95,8.37,4.59
16,Notre Dame,Ind,18,7,3,6.73,5.24,11.97,47.59,4.36,9.41,4.17,5.65,2.78,6.95,3.62
17,UCF,American,17,8,2,5.46,6.23,11.69,51.94,4.88,9.85,4.98,6.66,2.91,7.91,4.1
18,UCLA,Pac-12,16,8,2,10.67,0.72,11.39,52.12,10.52,9.78,5.13,6.81,2.91,8.09,4.08
19,Ole Miss,SEC (West),14,8,2,8.68,2.53,11.2,54.08,8.48,10.64,4.94,6.61,2.77,8.08,3.85
20,Louisville,ACC (Atlantic),,6,4,3.62,7.23,10.84,47.1,1.86,9.68,5.06,6.51,2.58,7.78,3.73
21,Kansas,Big 12,,6,4,10.33,0.49,10.82,54.08,8.88,11.09,5.92,7.54,2.48,8.89,4.12
22,Mississippi State,SEC (West),,6,4,7.56,3.24,10.8,51.4,7.15,8.77,4.27,4.86,3.17,7.22,3.84
23,Oklahoma State,Big 12,24,7,3,9.05,1.06,10.11,54.94,10.36,9.49,5.03,5.06,2.72,7.2,4.05
24,Illinois,Big Ten (West),,7,3,-1.07,11.12,10.05,41.6,-0.64,8.79,3.86,5.58,2.12,6.84,3.1
25,Washington,Pac-12,15,8,2,10.12,-0.11,10.01,52.6,11.53,10.05,6.19,4.72,2.67,7.68,4.24
26,Wake Forest,ACC (Atlantic),,6,4,10.16,-0.41,9.75,52.64,11.74,10.57,5.35,4.3,2.48,7.15,4.04
27,North Carolina,ACC (Coastal),13,9,1,14.79,-5.12,9.68,55.23,16.75,11,6.43,5.83,3.64,8.33,5.11
28,Oregon State,Pac-12,25,7,3,5.29,4.34,9.63,47.16,6.05,9.8,4.62,5.58,3.22,7.2,4.05
29,Florida,SEC (East),,6,4,9.11,0.49,9.6,51.66,8.5,9.98,5.4,7.33,3.26,8.35,4.38
30,Baylor,Big 12,,6,4,6.22,3.14,9.36,52.5,6.14,9.68,4.87,6.18,2.24,7.53,3.58
31,Oklahoma,Big 12,,5,5,6.5,2.76,9.25,52.43,9.08,9.62,4.51,6.66,2.8,7.77,3.69
32,Texas Tech,Big 12,,5,5,6.79,2.39,9.17,52.64,7.14,8.71,5.09,5.54,2.46,7.04,3.71
33,North Carolina State,ACC (Atlantic),,7,3,0.62,8.5,9.12,43.11,2,8.14,4.94,4.9,2.42,6.37,3.93
34,Syracuse,ACC (Atlantic),,6,4,1.07,7.9,8.97,45.96,4.5,9.92,4.73,5.6,2.57,7.35,3.57
35,Tulane,American,21,8,2,1.79,7.1,8.89,45.89,3.57,9.45,4.56,5.32,2.64,6.96,3.55
36,Iowa State,Big 12,,4,6,-2.85,11.73,8.88,40.13,-4.18,8.5,4.4,4.73,1.53,6.66,2.93
37,Minnesota,Big Ten (West),,7,3,-2.01,10.25,8.24,45.95,1.15,10.08,4.61,5.86,2.94,7.25,3.83
38,Iowa,Big Ten (West),,6,4,-4.62,12.42,7.8,36.72,-2.42,7.86,3.51,4.46,1.36,5.89,2.49
39,Cincinnati,American,22,8,2,2.36,4.92,7.27,45.24,6.29,8.98,4.35,5.34,2.12,7.15,3.21
40,Duke,ACC (Coastal),,7,3,5.94,1.05,6.99,47.51,10.22,8.94,5.92,6.4,3.05,7.47,4.54
41,South Alabama,Sun Belt (West),,8,2,1.87,4.83,6.69,43.71,6.55,9.31,4.66,4.81,2.39,6.77,3.67
42,East Carolina,American,,6,4,6.24,0.44,6.68,47.8,8.83,9.38,6.93,6.35,2.3,7.8,4.63
43,Washington State,Pac-12,,6,4,0.29,6.16,6.45,42.33,3.71,8.6,4.95,4.96,2.48,6.88,3.76
44,SMU,American,,6,4,11.38,-5.04,6.35,54.23,15.42,9.98,5.5,5.52,3.25,7.66,4.41
45,Pitt,ACC (Coastal),,6,4,4.11,1.6,5.71,45.6,8.61,9.16,4.61,5.74,2.09,7.09,3.53
46,Kentucky,SEC (East),,6,4,-3.24,8.55,5.31,37.76,2.32,10.01,4.57,4.43,2.85,6.63,3.76
47,Purdue,Big Ten (West),,6,4,6.63,-1.38,5.25,50.3,10.34,9.02,6.13,5.3,2.51,7.27,4.45
48,UTSA,CUSA (West),,8,2,8.35,-3.36,5,48.92,14.12,10.1,5.79,4.94,3.18,7.34,4.6
49,Maryland,Big Ten (East),,6,4,1.16,3.75,4.91,44.21,5.89,8.9,4.5,5.58,2.95,7.12,3.71
50,James Madison,Sun Belt (East),,6,3,1.69,3.18,4.87,48.44,7.88,10.25,6.31,5.25,1.7,7.22,3.97
51,Troy,Sun Belt (West),,8,2,-2.5,7.34,4.84,36.58,2.99,10.33,4.35,4.04,2.45,7.05,3.58
52,Memphis,American,,5,5,6.73,-2.1,4.63,48.52,11.71,9.54,5.22,4.74,2.46,6.93,4.03
53,Wisconsin,Big Ten (West),,5,5,0.29,3.87,4.16,47.68,6.49,10.07,5.29,6.05,2.08,7.64,3.53
54,Arkansas,SEC (West),,5,5,6.61,-2.58,4.03,48.16,11.66,11.08,6.83,5.94,2.7,7.89,4.66
55,West Virginia,Big 12,,4,6,5.83,-2.27,3.55,50.97,13.11,8.65,6.46,6.23,2.57,7.32,4.54
56,Missouri,SEC (East),,4,6,-0.21,3.6,3.39,40.4,6.89,9.2,4.66,4.9,2.3,6.63,3.59
57,Houston,American,,6,4,11.44,-8.12,3.32,52.01,17.96,9.36,5.74,5.99,2.96,7.71,4.59
58,Air Force,MWC (Mountain),,7,3,-2.12,5.43,3.3,39.15,7.05,11.86,6.31,6.33,2.98,6.94,4.77
59,Boise State,MWC (Mountain),,7,3,0.2,3.03,3.23,41.88,9.84,8.28,5.28,5.35,2.44,6.47,3.86
60,Liberty,Ind,,8,2,4.12,-1.09,3.04,42.13,12.17,8.39,5,5.5,3,6.75,4.03
61,Toledo,MAC (West),,7,3,3.54,-0.69,2.85,46.29,15.54,8.5,4.79,5.28,3.16,6.65,4.01
62,South Carolina,SEC (East),,6,4,0.67,2.12,2.79,44.36,11.58,9.31,4.62,5.05,3.44,6.99,4.03
63,Appalachian State,Sun Belt (East),,5,5,4.84,-2.6,2.25,48.42,13.99,9.44,5.33,6.07,3.02,7.43,4.07
64,Auburn,SEC (West),,4,6,1.88,0.32,2.2,43.3,10.61,9.26,4.2,6.21,3.51,7.36,3.84
65,Marshall,Sun Belt (East),,6,4,-5.3,7.36,2.06,37.01,4.52,7.94,4.36,5.34,2.01,6.25,3.35
66,Michigan State,Big Ten (East),,5,5,0.67,1.28,1.95,44.63,7.35,9.28,5.85,5.3,2.9,7.37,4.28
67,Coastal Carolina,Sun Belt (East),23,9,1,4.36,-2.58,1.78,43.34,14.53,11.03,7.31,4.89,2.74,7.33,5.2
68,BYU,Ind,,5,5,3.13,-1.53,1.6,44.58,13.34,9.51,6.02,6.16,3.2,7.73,4.56
69,UAB,CUSA (West),,5,5,-2.08,3.54,1.46,41.14,7.48,9.65,4.5,6.24,3.51,7.53,3.89
70,Texas A&M,SEC (West),,3,7,-3.55,4.73,1.18,37.93,3.22,8.39,3.88,5.56,3.34,7.02,3.59
71,Western Kentucky,CUSA (East),,7,4,-0.32,1.44,1.12,46.34,10.99,9.16,5.27,5.57,3.25,7.6,4.18
72,Louisiana,Sun Belt (West),,5,5,-1.67,1.81,0.14,38.47,9.33,8,5.08,4.93,3.15,6.34,4.24
73,Fresno State,MWC (West),,6,4,0.99,-0.94,0.05,42.08,13.48,9.44,5.89,4.65,3.69,6.97,4.75
74,North Texas,CUSA (West),,6,5,4.14,-4.43,-0.29,45.91,17.97,10.37,5.93,5.9,3.98,7.84,4.93
75,Arizona,Pac-12,,4,6,6.82,-7.67,-0.85,46.35,18.81,9.98,6.16,5.45,4.79,7.79,5.35
76,Miami (FL),ACC (Coastal),,5,5,-2.86,1.99,-0.87,40.85,11.22,8.87,7.13,4.93,2.69,6.81,4.64
77,Ohio,MAC (East),,7,3,7.19,-8.29,-1.1,47.26,22.27,9.93,7.68,4.82,3.7,7.46,5.85
78,California,Pac-12,,3,7,-2.88,1.58,-1.3,37.19,9.94,8.38,5.63,4.32,2.89,6.49,4.43
79,San Jose State,MWC (West),,6,3,-2.66,0.99,-1.66,37.15,12.66,8.6,6.94,3.66,2.77,6.34,4.63
80,Stanford,Pac-12,,3,7,-2.61,0.9,-1.71,38.18,11.61,8.76,4.94,4.43,4.68,6.53,4.81
81,Georgia Southern,Sun Belt (East),,5,5,6.03,-8.12,-2.09,48.93,19.66,8.61,5.9,5.88,4.81,7.41,5.46
82,Army,Ind,,3,6,-2.04,-0.25,-2.29,38.87,13.15,10.8,4.95,6.56,4.55,7.07,4.91
83,Vanderbilt,SEC (East),,4,6,0.15,-2.73,-2.58,43.04,18.4,8.8,6.86,5.81,3.59,7.07,5.37
84,Florida Atlantic,CUSA (East),,5,5,-2.32,-0.43,-2.74,39.36,11.28,7.71,5.42,5.32,4.05,6.29,4.62
85,Navy,American,,3,7,-4.35,1.53,-2.82,37.09,9.29,9.9,7.03,5.26,1.93,6.03,4.8
86,Arizona State,Pac-12,,3,7,-0.07,-2.84,-2.91,41.29,12.93,9.4,4.83,4.85,3.96,7.01,4.37
87,San Diego State,MWC (West),,6,4,-6,3.04,-2.95,32.04,9.34,7.57,5.66,4.83,3.07,5.89,4.46
88,Connecticut,Ind,,6,5,-4.9,1.82,-3.08,33.39,14.83,6.92,6.22,5.62,3.62,6.06,4.93
89,Nebraska,Big Ten (West),,3,7,-0.35,-2.96,-3.32,40.15,13.12,9.83,5.54,5.05,3.37,7.12,4.43
90,Rutgers,Big Ten (East),,4,6,-5.18,1.82,-3.37,38.24,10.09,7.9,4.52,5.38,2.99,6.44,3.71
91,Indiana,Big Ten (East),,3,7,1.99,-5.38,-3.39,42.49,16.04,7.92,6.01,4.29,2.55,6.23,4.09
92,Southern Mississippi,Sun Belt (West),,5,5,-3.03,-0.8,-3.83,39.71,12.63,9.14,5.87,4.31,3.12,6.3,4.43
93,Georgia State,Sun Belt (East),,4,6,-0.15,-3.94,-4.09,40.46,14.51,8.73,5.01,5.42,3.08,6.53,4.07
94,Wyoming,MWC (Mountain),,7,3,-2.48,-1.78,-4.26,34.33,15.62,7.31,5.55,5.65,3.33,6.23,4.67
95,Boston College,ACC (Atlantic),,3,7,-2.85,-1.43,-4.28,36.66,13.43,8.74,5.67,3.35,2.89,6.23,4.19
96,Georgia Tech,ACC (Coastal),,4,6,-5.29,0.95,-4.34,34.6,12.12,7.78,5.23,5.27,2.85,6.38,3.96
97,Ball State,MAC (West),,5,5,-4.83,-0.13,-4.96,34.46,13.61,6.75,5.08,4.95,3.09,5.83,4.06
98,Tulsa,American,,3,7,0.77,-5.8,-5.03,42.25,17.76,9.27,5.31,4.95,3.74,6.94,4.48
99,Virginia,ACC (Coastal),,3,7,-6.27,1.23,-5.05,33.88,9.12,8.06,4.84,5.07,2.47,6.53,3.56
100,Kent State,MAC (East),,4,6,-1.93,-3.26,-5.19,41.03,14.97,9.08,7.11,5.83,3.31,7.04,4.98
101,Buffalo,MAC (East),,5,5,-0.87,-4.38,-5.25,39.17,17.09,7.58,6.71,4.41,4.8,5.78,5.72
102,Louisiana-Monroe,Sun Belt (West),,4,6,-0.23,-5.21,-5.43,40.23,21.1,9.81,6.29,4.84,3.53,6.87,4.97
103,Nevada-Las Vegas,MWC (West),,4,6,-0.84,-4.63,-5.47,39.76,19.23,8.39,6.36,5.12,3.18,6.52,4.71
104,Old Dominion,Sun Belt (East),,3,7,-6.42,-0.17,-6.59,35.42,12.01,8.3,6.38,5.01,3.1,6.77,4.45
105,Central Michigan,MAC (West),,4,6,-2.22,-4.51,-6.73,38.57,15.71,7.81,6.05,5.16,2.92,6.38,4.37
106,Temple,American,,3,7,-7.63,0.81,-6.83,33.47,14.05,7.81,5.69,4.11,3.35,6.06,4.4
107,Rice,CUSA (West),,5,5,-2.4,-4.48,-6.88,38.43,20.55,8.82,6.5,4.71,3.73,6.58,4.89
108,Virginia Tech,ACC (Coastal),,2,8,-7.02,0.03,-6.99,33.51,10.5,7.66,5.54,4.42,2.93,5.95,4.19
109,Northwestern,Big Ten (West),,1,9,-6.06,-1.32,-7.37,35.19,11.67,8.37,5.14,4.64,3.43,6.38,4.21
110,Texas State,Sun Belt (West),,3,7,-5.98,-2.07,-8.05,34.8,13.77,7.54,5.42,4.04,2.84,5.86,4.31
111,Arkansas State,Sun Belt (West),,3,7,-1.51,-6.61,-8.12,41.19,17.33,8.48,6.84,4.11,3.15,6.17,4.82
112,Middle Tennessee State,CUSA (East),,5,5,-4.21,-4.32,-8.53,36.76,17.4,7.53,5.6,3.96,3.06,5.8,4.38
113,Northern Illinois,MAC (West),,3,7,0.15,-8.96,-8.82,39.44,20.78,8.08,7.19,5.66,3.12,6.57,5.04
114,Utah State,MWC (Mountain),,5,5,-4.28,-4.63,-8.91,33.48,20.79,7.43,5.56,4.6,3.85,5.68,4.86
115,Miami (OH),MAC (East),,4,6,-8.03,-1.74,-9.77,30.65,13.33,7.45,5.88,4.59,3.02,5.73,4.53
116,Eastern Michigan,MAC (West),,6,4,-1.17,-8.73,-9.91,37.43,22.04,8.16,6.76,4.22,3.86,5.94,5.2
117,South Florida,American,,1,9,-0.3,-9.82,-10.12,41.05,22.32,8.49,7.15,6.33,4.53,7.2,5.75
118,Bowling Green,MAC (East),,5,5,-3.13,-7.79,-10.91,35.4,22.04,7.59,6.68,3.98,3.74,5.74,5.19
119,UTEP,CUSA (West),,4,6,-6.78,-4.18,-10.96,31.47,16.81,7.71,6.74,4.46,3.67,6.01,5.07
120,Louisiana Tech,CUSA (West),,3,7,1.31,-12.43,-11.12,41.36,27.3,9.07,5.53,4.37,5.34,6.7,5.45
121,Colorado,Pac-12,,1,9,-8.16,-3.64,-11.81,33.87,20.76,7.81,5.68,4.5,4.06,5.93,4.99
122,New Mexico State,Ind,,4,5,-10.06,-2.35,-12.41,28.68,20.13,7.15,6.35,4.72,3.7,5.72,4.9
123,New Mexico,MWC (Mountain),,2,8,-13.59,-0.38,-13.97,26.96,16.48,6.57,5.99,4.36,3.32,5.08,4.68
124,Western Michigan,MAC (West),,3,7,-11.2,-2.93,-14.14,29.89,15.79,7.08,6.64,4.33,3.48,5.46,4.86
125,Akron,MAC (East),,1,9,-9.9,-5.51,-15.41,30.49,22.81,7.59,7.57,3.61,3.9,5.81,5.41
126,Florida International,CUSA (East),,4,6,-10.38,-5.18,-15.56,27.5,26.39,6.52,6.53,4.04,3.91,5.32,5.09
127,Nevada,MWC (West),,2,8,-6.55,-9.22,-15.77,31.86,24.28,6.67,6.88,4.08,3.95,5.21,5.39
128,Hawaii,MWC (West),,2,9,-7.87,-8.42,-16.29,30.21,27.02,6.64,7.1,5.35,5.06,5.9,6
129,Colorado State,MWC (Mountain),,2,8,-13.44,-3.3,-16.75,24.36,19.83,8.51,6.28,3.76,3.53,5.8,4.85
130,Charlotte,CUSA (East),,2,9,-3.43,-13.69,-17.13,36.07,30.4,9.1,8.98,4.37,4.53,6.86,6.38
131,Massachusetts,Ind,,1,9,-13.84,-4.83,-18.67,24.92,20.6,6.5,6.94,4.21,4.29,5.03,5.39
,,,,,,,,,,,,,,,,
