"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Jobs","(Without client)","(Without description)","182:46","182.76666666666668","0.0"
"Launch School","(Without client)","(Without description)","9:50","9.833333333333334","0.0"
