"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"(Without project)","(Without client)","(Without description)","1:46","1.7666666666666666","0.0"
"Jobs","(Without client)","(Without description)","16:05","16.083333333333332","0.0"
"Launch School","(Without client)","(Without description)","703:32","703.5333333333333","0.0"
"Launch School","(Without client)","Exam","3:16","3.2666666666666666","0.0"
"Launch School","(Without client)","Launch School","0:32","0.5333333333333333","0.0"
