"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"IBM","(Without client)","(Without description)","112:38","112.63333333333334","0.0"
"Jobs","(Without client)","(Without description)","78:01","78.01666666666667","0.0"
