"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"IBM","(Without client)","(Without description)","187:08","187.13333333333333","0.0"
"Jobs","(Without client)","(Without description)","96:11","96.18333333333334","0.0"
