"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"IBM","(Without client)","(Without description)","174:11","174.18333333333334","0.0"
"Jobs","(Without client)","(Without description)","164:23","164.38333333333333","0.0"
