"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"IBM","(Without client)","(Without description)","158:11","158.18333333333334","0.0"
"Jobs","(Without client)","(Without description)","133:41","133.68333333333334","0.0"
