iter	Logloss
0	0.6922303649
1	0.6906471286
2	0.6895794268
3	0.6887071995
4	0.6870939904
5	0.685689105
6	0.6842522097
7	0.6825091959
8	0.6808673626
9	0.6802862736
10	0.6787364055
11	0.6772310775
12	0.6758057002
13	0.6747592107
14	0.6733606912
15	0.6722905291
16	0.671116832
17	0.669933619
18	0.6682559703
19	0.6669062574
20	0.6651891413
21	0.6642733989
22	0.6629581537
23	0.6617940255
24	0.6606630905
25	0.6597070363
26	0.6582462389
27	0.6571916194
28	0.6565984555
29	0.6553939063
30	0.654378394
31	0.6533615533
32	0.6522511124
33	0.6509727479
34	0.6494582042
35	0.6485470959
36	0.6475590768
37	0.6466366171
38	0.6456052644
39	0.6446184248
40	0.643535457
41	0.6425006887
42	0.6415613915
43	0.6408450962
44	0.6395263883
45	0.6385167913
46	0.6372585881
47	0.6362504916
48	0.6352513847
49	0.6342416472
50	0.6335479751
51	0.6328917934
52	0.6322375808
53	0.6315525753
54	0.631012112
55	0.6297643059
56	0.629207079
57	0.6282965978
58	0.6276920225
59	0.6271621078
60	0.6264423717
61	0.6255592036
62	0.6248185858
63	0.6240688705
64	0.623043909
65	0.6220939248
66	0.6213724154
67	0.6206485437
68	0.6201947007
69	0.6196529386
70	0.6190398588
71	0.6183612486
72	0.6175186041
73	0.6170226773
74	0.6161610257
75	0.6153964592
76	0.6143619791
77	0.6136531672
78	0.6128758435
79	0.612294777
80	0.6116355991
81	0.6110571346
82	0.6103182653
83	0.6096258915
84	0.608808869
85	0.6083279638
86	0.6076673772
87	0.6071821604
88	0.6064635637
89	0.6056111547
90	0.6052197404
91	0.6048662497
92	0.6042289778
93	0.6032960666
94	0.6026040138
95	0.6020396455
96	0.6017494155
97	0.6010666394
98	0.600451546
99	0.5999057276
100	0.5995596823
101	0.5990083424
102	0.5987006489
103	0.5981879843
104	0.5975814486
105	0.5971474975
106	0.5967423584
107	0.5961684785
108	0.5956071363
109	0.595151145
110	0.5946918877
111	0.5941301834
112	0.5937368246
113	0.5932521152
114	0.5926663877
115	0.5921437855
116	0.5917605377
117	0.5911633744
118	0.5907646569
119	0.5903783659
120	0.5897365046
121	0.5890947456
122	0.5883321932
123	0.5879588985
124	0.5876038309
125	0.587238098
126	0.5867632415
127	0.5862943497
128	0.5861458839
129	0.5858716573
130	0.5852177984
131	0.5847882316
132	0.5843810117
133	0.5838588503
134	0.5834079844
135	0.5825287894
136	0.582067826
137	0.581674564
138	0.5811724916
139	0.5807355705
140	0.5803808302
141	0.5801134301
142	0.5795801062
143	0.5792583117
144	0.5789698263
145	0.5785434261
146	0.5781964704
147	0.5777167118
148	0.5774378634
149	0.5770069059
150	0.576448977
151	0.576069826
152	0.5756154805
153	0.5752193485
154	0.5746413339
155	0.5742238898
156	0.573642038
157	0.5731781256
158	0.5727716568
159	0.5724530418
160	0.5723112366
161	0.5717281729
162	0.5713006491
163	0.5704881461
164	0.5702746409
165	0.5697524719
166	0.5693860331
167	0.5689436919
168	0.5686965383
169	0.5682581282
170	0.5676428386
171	0.5673022405
172	0.5668785917
173	0.5664237804
174	0.5661848545
175	0.5657197588
176	0.5651315789
177	0.5647798697
178	0.5645620402
179	0.5643801984
180	0.5640934153
181	0.563571726
182	0.5632461651
183	0.5631003997
184	0.5626416965
185	0.5622321717
186	0.5620091408
187	0.5617319933
188	0.5613441763
189	0.5609964067
190	0.5604236516
191	0.5600422443
192	0.5597846842
193	0.5594719266
194	0.5590375767
195	0.5584639986
196	0.5579300146
197	0.5576313665
198	0.5574881031
199	0.557015976
200	0.5567865241
201	0.5564279465
202	0.5562227431
203	0.555694123
204	0.5551708376
205	0.5548472722
206	0.5543057668
207	0.5538779048
208	0.5534956231
209	0.5532078525
210	0.5527314171
211	0.5521082062
212	0.5518758564
213	0.5516336615
214	0.5511199979
215	0.5505850298
216	0.5502208097
217	0.5497896752
218	0.5494411983
219	0.5491914596
220	0.5488100295
221	0.5485316291
222	0.5482167715
223	0.5477812399
224	0.5472639514
225	0.5467843415
226	0.5466153355
227	0.5461190212
228	0.5459257546
229	0.5455533181
230	0.5452590482
231	0.5451109187
232	0.5447666995
233	0.5444887899
234	0.5442094542
235	0.5440193045
236	0.5434563446
237	0.5430895758
238	0.5427742725
239	0.5424160628
240	0.5422071474
241	0.5418533504
242	0.5414185974
243	0.5411151993
244	0.5405597313
245	0.5402679241
246	0.5400128283
247	0.5396664494
248	0.53929838
249	0.538829886
250	0.5386175583
251	0.5383308942
252	0.5381182332
253	0.537945819
254	0.5376103376
255	0.5373495519
256	0.5368867217
257	0.5366167976
258	0.5362860015
259	0.535753338
260	0.5353635116
261	0.5351662453
262	0.5349364467
263	0.5346341358
264	0.5342290979
265	0.533936239
266	0.5337335308
267	0.5334586021
268	0.5332080191
269	0.5330660158
270	0.5328179794
271	0.5325741666
272	0.5323745296
273	0.532129535
274	0.5317501437
275	0.5313736773
276	0.5310543979
277	0.5307279186
278	0.5305475895
279	0.5303046334
280	0.5299711552
281	0.5295724048
282	0.5292788479
283	0.5288972106
284	0.5286622331
285	0.5283670738
286	0.5279485327
287	0.5276867864
288	0.5272459129
289	0.5270814232
290	0.5268594214
291	0.5265769305
292	0.5261215292
293	0.5258171997
294	0.5256651749
295	0.5255096405
296	0.5252670044
297	0.5249017311
298	0.5245262408
299	0.5241962436
300	0.5239972714
301	0.5235950081
302	0.5233811647
303	0.5230770502
304	0.5225573792
305	0.522401407
306	0.5221603293
307	0.5220746198
308	0.5215975556
309	0.5214795975
310	0.5213650288
311	0.5211745925
312	0.5208229838
313	0.5202137372
314	0.5198933185
315	0.5195699391
316	0.5190784392
317	0.5188083824
318	0.5185439405
319	0.5182411605
320	0.5179253086
321	0.5175901962
322	0.5172968649
323	0.516806674
324	0.516490208
325	0.5163196289
326	0.5162068113
327	0.5160041193
328	0.5156762795
329	0.515256988
330	0.515096128
331	0.5146582498
332	0.5144838595
333	0.5142069778
334	0.5138312592
335	0.5138091321
336	0.5133976485
337	0.5132672322
338	0.5131207635
339	0.5130542978
340	0.5128489614
341	0.5125537626
342	0.5123367547
343	0.5121353206
344	0.5117168081
345	0.5114841126
346	0.5113307066
347	0.5108256309
348	0.5106086677
349	0.5103627369
350	0.510081167
351	0.5097440058
352	0.5094770929
353	0.5092392931
354	0.5091054514
355	0.508961662
356	0.5088334019
357	0.5085721417
358	0.5084370375
359	0.5081654974
360	0.507870687
361	0.5076066749
362	0.5073068691
363	0.5070341475
364	0.5069679392
365	0.5067669975
366	0.5065434628
367	0.5060394974
368	0.5057755265
369	0.5054780508
370	0.5051696293
371	0.5051004684
372	0.5049300529
373	0.5045518716
374	0.5043405326
375	0.5042005153
376	0.5041720971
377	0.503953503
378	0.5037978071
379	0.5035634538
380	0.5033532876
381	0.5030704958
382	0.5026990489
383	0.5024548454
384	0.5022061708
385	0.5019489805
386	0.5017314098
387	0.501378677
388	0.5010772999
389	0.5009263327
390	0.500684263
391	0.5003290114
392	0.5003046312
393	0.4999359964
394	0.4996923827
395	0.4995333553
396	0.4992010021
397	0.4989778098
398	0.4989053194
399	0.4985521358
400	0.4983658799
401	0.4981462565
402	0.4980281621
403	0.4978592395
404	0.4975062934
405	0.4972574466
406	0.496967708
407	0.4969507019
408	0.4967174477
409	0.4964210754
410	0.4961764967
411	0.4958743684
412	0.4956311825
413	0.495339784
414	0.4951787498
415	0.4950127464
416	0.4947933466
417	0.494534613
418	0.4943186579
419	0.4942467879
420	0.4940789625
421	0.4940069651
422	0.4937174849
423	0.4932819789
424	0.4931340496
425	0.4930895048
426	0.4928192181
427	0.4926148035
428	0.4924391764
429	0.4922581858
430	0.4920511272
431	0.4917709706
432	0.4916255964
433	0.4913695474
434	0.490966455
435	0.4906260718
436	0.4904738193
437	0.490221735
438	0.4900222026
439	0.4896671422
440	0.4894331531
441	0.4893123637
442	0.4891851674
443	0.4889656924
444	0.4887186768
445	0.4884438511
446	0.4882505888
447	0.4881274835
448	0.4878889112
449	0.48763611
450	0.4874648126
451	0.4871425082
452	0.4868535239
453	0.486742925
454	0.486596673
455	0.4865292185
456	0.4863071569
457	0.48616048
458	0.4860703718
459	0.4859176015
460	0.4857110347
461	0.4854067151
462	0.4853094544
463	0.4851423847
464	0.4849734441
465	0.4846953225
