country,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results,year
Senegal,0.193076923,0.087692308,-0.18,0.045384615,-0.492307692,-0.325384615,0.333076923,0.048461538,-0.28,-0.345384615,0.082307692,-0.152307692,0.168461538,0.110769231,0.244615385,-0.056923077,7,2
Belgium,0.199230769,0.210769231,0.180769231,0.36,-0.336153846,-0.316153846,-0.283076923,-0.499230769,-0.156153846,-0.010769231,-0.265384615,-0.298461538,0.376153846,0.125384615,0.173076923,0.27,14,2
England,0.176153846,0.186153846,0.086153846,0.163846154,0.218461538,0.004615385,0.089230769,0.32,-0.220769231,-0.289230769,0.360769231,-0.015384615,0.404615385,-0.013846154,0.189230769,-0.038461538,6,2
Italy,0.153076923,0.197692308,0.03,0.088461538,-0.665384615,-0.347692308,-0.2,-0.407692308,-0.646153846,-0.612307692,-0.216153846,-0.455384615,-0.064615385,-0.136923077,0.095384615,-0.118461538,15,2
Argentina,-0.085384615,0.673846154,0.561538462,0.82,0.39,0.067692308,0.183846154,0.608461538,0.396153846,0.576923077,-0.353076923,0.48,0.038461538,0.098461538,0.282307692,0.687692308,18,2
Uruguay,0.239230769,0.55,0.156923077,0.183076923,-0.210769231,-0.204615385,0.747692308,0.416153846,0.099230769,-0.067692308,0.021538462,-0.183076923,0.263846154,0.097692308,0.06,0.055384615,26,2
Ecuador,-0.085384615,-0.292307692,-0.066923077,-0.23,0.842307692,0.666923077,0.226923077,-0.051538462,0.85,0.609230769,0.256153846,0.511538462,0.199230769,0.445384615,-0.049230769,-0.266153846,24,2
France,-0.41,0.329230769,0.606923077,0.713846154,0.467692308,-0.033076923,0.140769231,0.609230769,0.610769231,0.639230769,-0.492307692,-0.385384615,0.008461538,-0.016923077,0.310769231,0.633076923,28,2
Turkey,0.254615385,-0.122307692,0.118461538,0.069230769,0.006923077,0.016153846,0.01,-0.085384615,0.282307692,0.260769231,-0.153846154,-0.090769231,-0.127692308,-0.018461538,-0.190769231,0.105384615,3,2
Denmark,0.2,0.046153846,-0.056153846,0.129230769,0.120769231,0.053076923,0.010769231,0.267692308,0.001538462,0.106153846,-0.132307692,-0.310769231,0.063846154,0.234615385,-0.18,-0.002307692,10,2
