iter	RMSE
0	12.23368923
1	12.20539672
2	12.15844718
3	12.11434023
4	12.07335819
5	12.0326357
6	11.99139688
7	11.9589801
8	11.92447734
9	11.88151577
10	11.85260472
11	11.81409593
12	11.79935449
13	11.77680345
14	11.75069458
15	11.72741524
16	11.69733235
17	11.6730758
18	11.64579424
19	11.62217866
20	11.60410304
21	11.58356042
22	11.56310595
23	11.54479161
24	11.52423175
25	11.51122444
26	11.49813726
27	11.47903963
28	11.45591968
29	11.43583579
30	11.41730638
31	11.39650369
32	11.38289569
33	11.36218922
34	11.35295856
35	11.34107905
36	11.32086979
37	11.30642137
38	11.29308822
39	11.27639831
40	11.26101323
41	11.25977399
42	11.24769052
43	11.23999203
44	11.22353356
45	11.21492527
46	11.2032562
47	11.19364804
48	11.18044418
49	11.16936803
50	11.16036678
51	11.15065471
52	11.13337016
53	11.12133293
54	11.11148437
55	11.09884291
56	11.08502999
57	11.07704662
58	11.06800364
59	11.06039183
60	11.04789594
61	11.03967983
62	11.03090343
63	11.02143669
64	11.01207168
65	11.00392638
66	10.99461812
67	10.98735462
68	10.97525032
69	10.96232985
70	10.95655034
71	10.94869543
72	10.94216188
73	10.9319817
74	10.92141427
75	10.91243764
76	10.90834503
77	10.8945536
78	10.88908668
79	10.88346682
80	10.87690604
81	10.86596119
82	10.85928577
83	10.85372569
84	10.83820998
85	10.83186218
86	10.81811505
87	10.81169135
88	10.80429716
89	10.79494884
90	10.77875398
91	10.7688299
92	10.76525339
93	10.75820284
94	10.75383074
95	10.74769544
96	10.74133515
97	10.73658074
98	10.72919852
99	10.72375801
100	10.71863081
101	10.71467593
102	10.70885299
103	10.70248301
104	10.69910444
105	10.69629251
106	10.69248638
107	10.68184588
108	10.67601157
109	10.66781399
110	10.65599715
111	10.65036084
112	10.64398287
113	10.63894609
114	10.63439681
115	10.63138366
116	10.62478686
117	10.61693335
118	10.61208484
119	10.60670915
120	10.60265204
121	10.59884395
122	10.5931118
123	10.58704401
124	10.57901258
125	10.57820455
126	10.57489156
127	10.57126308
128	10.56486612
129	10.55872231
130	10.54909975
131	10.54204297
132	10.53407892
133	10.53051497
134	10.52313169
135	10.52013628
136	10.51530966
137	10.50973723
138	10.5006023
139	10.49572976
140	10.48792663
141	10.4762063
142	10.4715986
143	10.46984929
144	10.46622267
145	10.461477
146	10.45078809
147	10.44398227
148	10.43743041
149	10.43256055
150	10.42459219
151	10.41691756
152	10.41053488
153	10.40545437
154	10.39675936
155	10.38871073
156	10.38510367
157	10.37807757
158	10.36763133
159	10.36245587
160	10.35714425
161	10.35121714
162	10.34803096
163	10.33974264
164	10.3316013
165	10.32216449
166	10.31154983
167	10.3036246
168	10.29528619
169	10.29291344
170	10.28535207
171	10.27670544
172	10.27063165
173	10.2644804
174	10.25809533
175	10.24762133
176	10.24136985
177	10.23807529
178	10.22735154
179	10.22184388
180	10.21387522
181	10.20829455
182	10.2056624
183	10.19842043
184	10.1907637
185	10.18636564
186	10.17373949
187	10.1658393
188	10.16000308
189	10.15062532
190	10.14705038
191	10.14022872
192	10.13150891
193	10.12206658
194	10.11283025
195	10.10595161
196	10.09957517
197	10.09189387
198	10.08789388
199	10.08419675
200	10.07660093
201	10.07133845
202	10.06481475
203	10.05429131
204	10.0462307
205	10.0399125
206	10.03249244
207	10.02910477
208	10.02495732
209	10.01444554
210	10.00806435
211	10.00100173
212	9.994877703
213	9.986233797
214	9.97763783
215	9.968066852
216	9.954521417
217	9.944607588
218	9.936869093
219	9.930255304
220	9.924177977
221	9.918576384
222	9.913712209
223	9.905231924
224	9.900248887
225	9.894178841
226	9.8872456
227	9.88253379
228	9.879760385
229	9.869433961
230	9.861690053
231	9.852698768
232	9.846009807
233	9.839428108
234	9.827910155
235	9.822060087
236	9.815333205
237	9.810400263
238	9.801616706
239	9.795876496
240	9.789497733
241	9.783338108
