iter	Passed	Remaining
0	59	59288
1	59	29894
2	60	20156
3	61	15296
4	62	12378
5	62	10428
6	63	9032
7	64	7998
8	65	7177
9	65	6519
10	66	5979
11	67	5538
12	67	5132
13	68	4812
14	68	4527
15	69	4282
16	70	4065
17	70	3869
18	71	3697
19	72	3543
20	73	3405
21	73	3279
22	74	3164
23	75	3058
24	75	2959
25	76	2864
26	77	2779
27	77	2699
28	78	2625
29	79	2556
30	79	2492
31	80	2430
32	81	2377
33	81	2324
34	82	2272
35	83	2224
36	83	2178
37	84	2134
38	85	2095
39	85	2056
40	86	2018
41	86	1974
42	87	1940
43	87	1907
44	88	1875
45	89	1846
46	89	1817
47	90	1788
48	90	1763
49	91	1737
50	92	1712
51	92	1689
52	93	1665
53	93	1644
54	94	1622
55	94	1600
56	95	1579
57	96	1559
58	96	1540
59	97	1522
60	97	1503
61	98	1486
62	98	1469
63	99	1453
64	99	1437
65	100	1423
66	101	1409
67	101	1395
68	102	1382
69	103	1369
70	103	1356
71	104	1342
72	104	1330
73	105	1318
74	105	1306
75	106	1294
76	107	1283
77	107	1271
78	108	1260
79	108	1249
80	109	1239
81	109	1228
82	110	1218
83	110	1209
84	111	1199
85	111	1190
86	112	1180
87	113	1171
88	113	1162
89	114	1153
90	114	1144
91	115	1135
92	115	1127
93	116	1119
94	116	1112
95	117	1106
96	118	1098
97	118	1091
98	119	1083
99	119	1076
100	120	1069
101	120	1063
102	121	1057
103	122	1051
104	122	1044
105	123	1037
106	123	1032
107	124	1025
108	124	1020
109	125	1014
110	125	1009
111	126	1003
112	127	997
113	127	993
114	128	987
115	128	982
116	129	976
117	129	971
118	130	966
119	131	961
120	131	956
121	132	951
122	132	946
123	133	942
124	133	937
125	134	931
126	134	926
127	135	922
128	135	917
129	136	913
130	137	909
131	137	905
132	138	901
133	138	896
134	139	892
135	139	888
136	140	884
137	140	880
138	141	877
139	142	873
140	142	869
141	143	865
142	143	862
143	144	858
144	145	855
145	145	851
146	146	847
147	146	844
148	147	841
149	147	837
150	148	833
151	148	830
152	149	826
153	149	823
154	150	820
155	151	817
156	151	814
157	152	811
158	152	807
159	153	804
160	153	801
161	154	798
162	154	795
163	155	792
164	156	789
165	156	786
166	157	784
167	157	781
168	158	779
169	158	776
170	159	773
171	160	770
172	160	768
173	161	766
174	162	764
175	162	761
176	163	759
177	163	756
178	164	753
179	164	751
180	165	748
181	165	745
182	166	743
183	167	740
184	167	738
185	168	735
186	168	732
187	169	730
188	169	727
189	170	725
190	170	722
191	171	720
192	171	718
193	172	715
194	172	713
195	173	711
196	174	711
197	175	708
198	175	706
199	176	704
200	176	702
201	177	699
202	177	697
203	178	695
204	178	693
205	179	691
206	179	689
207	180	687
208	181	686
209	181	684
210	182	682
211	183	680
212	183	678
213	184	676
214	184	674
215	185	672
216	185	670
217	186	669
218	187	668
219	188	667
220	189	667
221	190	666
222	191	665
223	191	664
224	192	663
225	193	661
226	193	659
227	194	657
228	194	656
229	195	654
230	195	652
231	196	650
232	197	648
233	197	646
234	198	645
235	198	643
236	199	641
237	200	640
238	200	638
239	201	637
240	201	636
241	202	634
242	203	632
243	203	631
244	204	629
