,country,goals,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
0,Brazil98,0.4230769230769231,0.1469230769230768,-0.1361538461538461,-0.0299999999999999,0.4292307692307692,0.0376923076923076,0.2446153846153846,-0.22,0.2161538461538461,0.2699999999999999,-0.0769230769230768,-0.0976923076923077,-0.0199999999999999,-0.2246153846153846,0.1007692307692307,-0.1246153846153846,2
1,Brazil94,0.216923076923077,0.3484615384615384,0.0315384615384615,0.1584615384615385,0.8353846153846155,0.6269230769230769,0.2699999999999999,0.2669230769230769,1.1438461538461535,0.8346153846153845,-0.0592307692307692,-0.1346153846153845,0.1969230769230768,-0.0169230769230769,0.0338461538461538,0.1469230769230769,1
2,Brazil90,0.1138461538461538,0.3923076923076922,0.5992307692307691,0.513846153846154,0.833076923076923,0.4053846153846154,0.5215384615384615,1.139230769230769,1.1092307692307697,0.8592307692307692,0.0846153846153846,0.1030769230769231,0.6838461538461539,0.2138461538461538,0.3538461538461538,0.7869230769230771,9
3,Brazil86,0.4792307692307692,0.6092307692307692,0.2276923076923076,0.4507692307692307,0.7707692307692308,0.0423076923076923,0.3376923076923077,0.9276923076923078,0.5069230769230769,1.015384615384615,0.0207692307692307,0.3815384615384615,0.0384615384615384,0.0392307692307692,0.0223076923076922,0.6923076923076923,5
4,Brazil82,0.8776923076923077,0.7738461538461537,0.4284615384615385,0.6592307692307693,0.7546153846153845,0.3353846153846153,0.023076923076923,0.6384615384615385,0.4938461538461538,0.6376923076923074,-0.1176923076923076,-0.0338461538461538,0.5723076923076922,-0.0161538461538461,-0.0969230769230769,0.8907692307692309,5
0,Germany98,0.2453846153846154,0.0976923076923076,0.5492307692307692,0.4899999999999997,0.0907692307692307,0.0715384615384615,-0.4730769230769232,-0.1507692307692307,0.0969230769230769,0.2776923076923077,-0.153076923076923,-0.2123076923076923,0.0338461538461538,-0.1453846153846153,-0.0361538461538462,0.4876923076923077,7
1,Germany94,0.3376923076923079,0.2699999999999999,0.2923076923076922,0.2815384615384616,0.0653846153846153,-0.1423076923076923,-0.0769230769230769,0.4299999999999999,0.6884615384615385,0.0023076923076923,0.0207692307692307,0.1653846153846154,-0.0753846153846153,0.1930769230769231,0.0876923076923076,0.3938461538461539,5
2,Germany90,0.6730769230769231,0.6423076923076921,0.5023076923076923,0.2776923076923078,0.3100000000000001,0.1469230769230769,0.1530769230769229,0.0815384615384615,0.8146153846153845,0.4646153846153847,-0.1507692307692307,-0.0076923076923076,-0.0607692307692307,-0.22,0.0061538461538461,0.3876923076923076,1
3,Germany86,0.1146153846153845,0.1553846153846154,0.2715384615384615,0.3307692307692307,-0.0153846153846153,0.0284615384615384,0.1284615384615385,0.1092307692307692,0.1307692307692308,0.0569230769230768,-0.2323076923076923,-0.1469230769230769,-0.023076923076923,0.0784615384615384,0.5323076923076925,0.1407692307692307,2
4,Germany82,0.2507692307692306,0.2223076923076923,0.003076923076923,0.4053846153846154,-0.2700000000000001,-0.15,0.11,-0.0884615384615384,0.0061538461538461,-0.2107692307692307,-0.2576923076923077,-0.1246153846153845,-0.0046153846153846,0.013076923076923,0.0546153846153846,0.1776923076923076,2
0,Germany18,-0.0661538461538461,0.1623076923076923,0.2669230769230771,0.7415384615384613,0.5661538461538462,0.6046153846153847,-0.1938461538461539,0.5269230769230769,0.3769230769230768,0.2884615384615384,-0.49,-0.1207692307692308,-0.3507692307692308,-0.5107692307692309,-0.26,0.8615384615384615,32
1,Germany14,0.7553846153846154,0.6146153846153847,0.0715384615384615,0.436923076923077,0.5169230769230769,0.3446153846153846,-0.1323076923076923,-0.0061538461538461,0.6715384615384614,-0.0438461538461538,-0.2407692307692307,-0.0138461538461538,-0.1138461538461538,-0.1184615384615384,0.043076923076923,0.3961538461538462,1
2,Germany10,0.8169230769230768,0.4338461538461538,-0.0246153846153846,0.4523076923076924,0.1946153846153846,-0.1046153846153846,0.0061538461538461,0.3846153846153845,0.0476923076923077,0.0569230769230769,-0.0669230769230769,0.2761538461538462,0.2961538461538462,-0.3876923076923076,-0.2584615384615384,0.2761538461538462,3
3,Germany06,0.56,0.2253846153846154,0.0153846153846153,0.2069230769230768,0.0615384615384614,-0.043076923076923,-0.203076923076923,0.0369230769230769,0.3707692307692308,-0.07,-0.1784615384615385,-0.3492307692307693,-0.0938461538461538,-0.1653846153846153,-0.0553846153846154,-0.0007692307692307,3
4,Germany02,0.5630769230769231,0.2884615384615384,0.0938461538461537,0.2238461538461538,-0.4438461538461538,-0.3692307692307693,-0.3423076923076923,-0.2984615384615384,-0.0307692307692308,-0.3161538461538462,-0.3223076923076923,-0.2746153846153846,0.0269230769230769,-0.2607692307692307,-0.0176923076923076,0.1138461538461538,2
0,Portugal02,0.4030769230769229,0.2076923076923077,0.1576923076923076,0.0884615384615383,0.0569230769230768,-0.1615384615384615,0.3576923076923077,-0.0730769230769231,0.4684615384615384,0.5738461538461539,0.0853846153846154,0.0099999999999999,0.3269230769230767,0.3315384615384615,0.5576923076923077,0.2623076923076923,21
1,Portugal06,0.13,0.3438461538461539,-0.1453846153846154,-0.0046153846153846,0.0407692307692307,-0.3384615384615385,0.2376923076923077,0.2207692307692307,-0.1315384615384615,-0.0007692307692307,-0.3915384615384615,-0.0961538461538461,-0.0961538461538461,-0.1292307692307692,0.0407692307692307,-0.1084615384615384,4
2,Portugal10,0.5315384615384614,0.2846153846153846,-0.0238461538461538,0.1007692307692308,0.0784615384615384,-0.2999999999999999,0.07,0.1807692307692307,0.1053846153846153,0.0738461538461538,0.0238461538461538,-0.1315384615384615,-0.0092307692307692,0.2361538461538462,-0.03,0.053076923076923,11
3,Portugal14,0.0753846153846153,0.5292307692307691,0.273076923076923,0.2453846153846154,0.3792307692307692,0.4807692307692308,0.083076923076923,0.3507692307692306,0.173076923076923,-0.0307692307692307,-0.0484615384615384,0.1707692307692307,-0.1961538461538461,0.1853846153846154,0.0361538461538461,0.3015384615384615,18
4,Portugal18,0.3738461538461539,0.1661538461538461,0.2976923076923077,0.0446153846153845,0.3169230769230768,-0.0446153846153846,0.3792307692307691,0.2123076923076923,0.3007692307692307,0.2476923076923076,-0.0246153846153846,-0.2638461538461539,0.2946153846153846,0.1838461538461538,0.3861538461538463,0.1199999999999999,13
0,Spain02,0.4515384615384615,0.4953846153846152,-0.0123076923076923,0.1823076923076923,0.003076923076923,-0.2223076923076923,0.0123076923076923,0.1307692307692307,0.1476923076923077,-0.01,-0.1938461538461538,-0.2153846153846154,0.1515384615384615,-0.2876923076923076,0.1576923076923077,0.1323076923076923,10
1,Spain06,0.8815384615384615,1.0153846153846156,0.6376923076923077,0.5330769230769229,0.5007692307692307,0.2661538461538461,0.6769230769230768,0.08,0.4476923076923076,1.2153846153846155,-0.3376923076923077,-0.4423076923076924,-0.273076923076923,0.0415384615384615,0.093076923076923,0.6507692307692309,23
2,Spain10,0.18,0.5392307692307694,0.3830769230769231,0.8684615384615385,1.156923076923077,0.32,0.6169230769230768,1.432307692307692,0.7538461538461537,0.91,0.0269230769230769,0.6361538461538461,0.2861538461538461,-0.1384615384615385,0.4646153846153847,0.7623076923076924,1
3,Spain14,0.2438461538461538,0.5361538461538463,-0.0761538461538462,0.5969230769230769,0.7707692307692308,-0.0523076923076922,-0.1823076923076923,0.4892307692307693,1.146153846153846,0.6576923076923078,-0.383076923076923,-0.3792307692307692,0.0176923076923076,-0.3915384615384616,0.3330769230769231,0.4123076923076923,9
